model,prompt_type,seed,sc_runs,temperature,shots,english_acc,english_f1,english_hallucinations,english_precision,english_recall,german_acc,german_f1,german_hallucinations,german_precision,german_recall,italian_acc,italian_f1,italian_hallucinations,italian_precision,italian_recall,spanish_acc,spanish_f1,spanish_hallucinations,spanish_precision,spanish_recall
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot_cot_best,42,5,0.8,10,0.9406753878916946,0.8589388668857835,0.0,0.8138361044086805,0.9196363511769242,,,,,,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot_cot_best,43,5,0.8,10,0.9522360815333132,0.8838618697678506,0.0,0.845406668260324,0.9317932832013752,,,,,,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,43,1,0.3,0,0.9266808640097354,0.8335345509974227,0.0,0.784770240877808,0.9038509485097338,,,,,,,,,,,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,44,1,0.3,0,0.9181624581685428,0.8189445342408695,0.0,0.7699138783953948,0.8922188482049339,,,,,,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,42,5,0.8,10,0.847885609978704,0.412338550146724,165.0,0.7317688037133645,0.391904498571732,,,,,,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,43,5,0.8,10,0.836629145117128,0.3054823604383136,198,0.33501067398597134,0.3335010355694172,,,,,,,,,,,,,,,
claude-3-haiku-20240307,few_shot_cot_best,44,5,0.8,10,0.8411925768177669,0.3472261810568743,191.0,0.7464955939457328,0.3548952102776175,,,,,,,,,,,,,,,
claude-3-haiku-20240307,zero_shot,43,1,0.3,0,0.8634012777608762,0.6114669496182882,94.0,0.6689235192992841,0.5750458978862649,,,,,,,,,,,,,,,
claude-3-haiku-20240307,zero_shot,44,1,0.3,0,0.8670520231213873,0.6229007693940324,91,0.6809359036932765,0.5855147869365256,,,,,,,,,,,,,,,
claude-sonnet-4-20250514,few_shot_cot_best,42,5,0.8,10,0.9710982658959536,0.9181400960965588,0.0,0.9047496170989034,0.932683374198041,,,,,,,,,,,,,,,
gemini-2.5-flash-lite,few_shot_cot_best,42,5,0.8,10,0.9577121995740796,0.8897912508436043,0.0,0.8631814144208727,0.9203181807346112,,,,,,,,,,,,,,,
gemini-2.5-flash-lite,zero_shot,43,1,0.3,0,0.9367204137511408,0.848939637321945,0.0,0.8043354821365165,0.908703925173422,,,,,,,,,,,,,,,
gemini-2.5-flash-lite,zero_shot,44,1,0.3,0,0.9364161849710982,0.8520902905138722,0.0,0.8051217620093268,0.916397135452488,,,,,,,,,,,,,,,
gpt-4o-mini,few_shot_cot_best,42,5,0.8,10,0.9628840888348038,0.900054737728341,0.0,0.878330146948568,0.9243504909614904,,,,,,,,,,,,,,,
gpt-4o-mini,zero_shot,42,1,0.8,0,0.9400669303316094,0.843508647034585,0.0,0.8181064836618898,0.8739669049675394,,,,,,,,,,,,,,,
o3-mini,zero_shot,42,1,0.3,0,0.9446303620322484,0.858557148969493,0.0,0.8287318715017474,0.8953610796757397,,,,,,,,,,,,,,,
