sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models
"In San Francisco angekommen, wollen sie die Stadt bei ihrer letzten Nacht in den Vereinigten Staaten im Sturm erobern.",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Und wollt ihr wissen, was davon das Ende ist?",ihr wissen,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Cäsar hat den Rubikon überschritten.,,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Eine Verbreiterung der Pt-Wagen war 1980 noch nicht möglich, da die ehemalige Straßenbahnstrecke in der Eckenheimer Landstraße zum damaligen Zeitpunkt noch nicht für den Einsatz von 2,65m breiten Fahrzeugen umgebaut worden war.",der Eckenheimer,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Lemon Drop sind sehr ertragreiche Chilipflanzen, in einem Jahr kann eine Pflanze über 100 Früchte tragen.",Früchte tragen,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Als die Xinhai-Revolution Shaanxi erreichte, wodurch acht Ausländer zu Tode kamen, wurde eine Evakuierung aller Missionare und Ausländer geplant.",zu Tode kamen,8,10,80.00%,"Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Das Gespräch zwischen den beiden ergibt, dass noch eine weitere Schwester existiert, Cammie, und dass Cammie oft über Nacht im Haus ihrer Freundin Sheila bleibt.",über Nacht,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Der Bahnhof war aber nicht nur von feindlichen Angriffen betroffen: Am 12.September 1944 beschädigte eine außer Kontrolle geratene und abstürzende V1 den Bahnhof.,außer Kontrolle geratene,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Diese Blätter befanden sich, wie in Die Welt von gestern beschrieben, im Besitz von Stefan Zweig und sind heute Eigentum der British Library.",von gestern,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Nur der Dirigent hatte einen Namen, der mit dem der Stadt zusammenging, und Staat machten beide Namen.",Staat machten,8,10,80.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Was würde das für ein Grund sein, wenn wir keine Wunder für diese Kinder vollbringen!",,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, o3-mini"
"Als auch eine jüdische Nachbarin zu Tode kommt, beschließt Anna, auch aktiven Widerstand zu betreiben.",zu Tode kommt,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Das Feuer war bis 21:00 Uhr (00:00 UTC 3. September) außer Kontrolle geraten, es gab große Flammen und gelegentliche Explosionen, und wurde von Feuerwehrleuten aus vier Sektoren bekämpft.",außer Kontrolle geraten,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Denn selten zuvor hat ein deutscher Regisseur die unendlichen Weiten des amerikanischen Hinterlands so vortrefflich ins Bild gesetzt“.,,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro"
Die Musik ist meine große Liebe.,große Liebe,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
Hand in Hand verlassen Roger und Dolly den Gerichtssaal.,,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Ich bin um Mitternacht die Ecke wieder da.,die Ecke,7,10,70.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Mit verschwindenden Schuldnern und leihunwilligen Banken ist es kein Wunder, dass nach fast drei Jahren mit Niedrigzinsrekorden und massiven Liquiditätsspritzen die Industrieökonomien immer noch so schlecht dastehen.",kein Wunder,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Niemand verschwindet einfach so.,einfach so,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o-mini, o3-mini"
Oftmals wurde die Kohle über Nacht gestohlen.,über Nacht,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Später im gleichen Monat, während er auf einer politischen Kundgebung in Uruguay sang, wurden Ochs und sein damaliger Reisebegleiter, David Ifshin, verhaftet und über Nacht festgehalten.",über Nacht,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Voranschlag – entsichern – ins Ziel gehen – Feuer!,,7,10,70.00%,"Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Christian trauerte lange seiner großen Liebe nach.,großen Liebe,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gemini-2.5-pro, o3-mini"
