model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
deepseek-ai/DeepSeek-R1,zero_shot,42,0,1,0.3,0.96857,0.755633,0.901814,0.816672,2
meta-llama/Llama-4-Scout-17B-16E-Instruct,few_shot,42,10,5,0.8,0.981116,0.821401,0.931596,0.870092,0
meta-llama/Llama-4-Scout-17B-16E-Instruct,few_shot,43,10,5,0.8,0.982333,0.833318,0.924515,0.874416,0
meta-llama/Llama-4-Scout-17B-16E-Instruct,few_shot,44,10,5,0.8,0.980981,0.819709,0.929383,0.86807,0
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,42,0,1,0.3,,,,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,43,0,1,0.3,0.970727,0.758653,0.908372,0.820836,0
meta-llama/Llama-4-Scout-17B-16E-Instruct,zero_shot,44,0,1,0.3,0.970953,0.759816,0.907319,0.821194,0
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot,42,10,5,0.8,0.972485,0.771923,0.904065,0.8278,0
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot,43,10,5,0.8,0.976001,0.794164,0.914706,0.846165,0
Qwen/Qwen2.5-72B-Instruct-Turbo,few_shot,44,10,5,0.8,0.971989,0.767762,0.906435,0.825611,0
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,42,0,1,0.3,,,,,
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,43,0,1,0.3,0.963223,0.726403,0.900815,0.793811,0
Qwen/Qwen2.5-72B-Instruct-Turbo,zero_shot,44,0,1,0.3,0.96408,0.729379,0.90235,0.796601,1
claude-3-haiku-20240307,few_shot,42,10,5,0.8,0.942784,0.611215,0.348229,0.352809,857
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.942401,0.570754,0.343304,0.343539,867
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.942582,0.563756,0.33993,0.336948,869
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.950108,0.675547,0.877168,0.74937,0
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.953894,0.685284,0.884141,0.759301,0
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.953556,0.684538,0.886685,0.759332,0
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.986051,0.880301,0.914381,0.896505,0
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,,,,,
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.976812,0.802705,0.921108,0.85465,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.981364,0.833952,0.932553,0.878444,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.979696,0.819686,0.934805,0.870632,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,,,,,
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.972282,0.771283,0.921261,0.83356,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.972665,0.773404,0.919707,0.834503,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.980102,0.822372,0.91985,0.866128,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.972704,0.770126,0.911788,0.829977,0
gpt-4o,few_shot,42,10,5,0.8,0.983752,0.848309,0.936838,0.888407,0
gpt-4o,few_shot,43,10,5,0.8,0.98373,0.850212,0.935757,0.889051,0
gpt-4o,zero_shot,42,0,1,0.3,0.972476,0.764399,0.903281,0.822294,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.983369,0.848943,0.926091,0.884305,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.984158,0.863504,0.923884,0.891697,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.982648,0.841576,0.922738,0.878426,0
gpt-4o-mini,zero_shot,42,0,1,0.3,0.970819,0.759157,0.892884,0.814854,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.973139,0.770918,0.897226,0.824198,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.972575,0.767335,0.893609,0.82043,0
o3-mini,zero_shot,42,0,1,0.3,0.974581,0.793533,0.892504,0.837024,0
