sentence	tokens	tags	tag_ids	true_idioms	language	predicted_idioms	ratios	hallucinated	predicted_tags
A rock has broken the ice covering a lake.	['A ', 'rock ', 'has ', 'broken ', 'the ', 'ice ', 'covering ', 'a ', 'lake', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The ship broke the ice all the way.	['The ', 'ship ', 'broke ', 'the ', 'ice ', 'all ', 'the ', 'way', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
This is a perfect way to break the ice and start the conversation.	['This ', 'is ', 'a ', 'perfect ', 'way ', 'to ', 'break ', 'the ', 'ice ', 'and ', 'start ', 'the ', 'conversation', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]	['break the ice']	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
The bullet hit thebook in his pocket.	['The ', 'bullet ', 'hit ', 'thebook ', 'in ', 'his ', 'pocket', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The victim was stabbed in the back by a criminal.	['The ', 'victim ', 'was ', 'stabbed ', 'in ', 'the ', 'back ', 'by ', 'a ', 'criminal', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The President was stabbed in the back while talking to the nation.	['The ', 'President ', 'was ', 'stabbed ', 'in ', 'the ', 'back ', 'while ', 'talking ', 'to ', 'the ', 'nation', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['stabbed in the back']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']
We rang the bell but nobody answered.	['We ', 'rang ', 'the ', 'bell ', 'but ', 'nobody ', 'answered', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I thought you rang the bell.	['I ', 'thought ', 'you ', 'rang ', 'the ', 'bell', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O']
The patient rang the bell 20 minutes ago.	['The ', 'patient ', 'rang ', 'the ', 'bell ', '20 ', 'minutes ', 'ago', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I'll throw a dice up in the air.	"['I', ""'ll "", 'throw ', 'a ', 'dice ', 'up ', 'in ', 'the ', 'air', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
baloons are floating up in the air.	['baloons ', 'are ', 'floating ', 'up ', 'in ', 'the ', 'air', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Back muscles must be used to keep balance on the ball.	['Back ', 'muscles ', 'must ', 'be ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Abdominals are used to keep balance on the ball and lift your arms.	['Abdominals ', 'are ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball ', 'and ', 'lift ', 'your ', 'arms', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I thought I taught you how to get over a fence.	['I ', 'thought ', 'I ', 'taught ', 'you ', 'how ', 'to ', 'get ', 'over ', 'a ', 'fence', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['get over a fence']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
I think I can get over 100 dollars.	['I ', 'think ', 'I ', 'can ', 'get ', 'over ', '100 ', 'dollars', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Girls, please keep your chin up while dancing.	['Girls', ', ', 'please ', 'keep ', 'your ', 'chin ', 'up ', 'while ', 'dancing', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['keep your chin up']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']
Tom, keep your chin up when you talk.	['Tom', ', ', 'keep ', 'your ', 'chin ', 'up ', 'when ', 'you ', 'talk', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['keep your chin up']	[1.0]	False	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']
I'd have a piece of cake.	"['I', ""'d "", 'have ', 'a ', 'piece ', 'of ', 'cake', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['a piece of cake']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Would you like a piece of cake.	['Would ', 'you ', 'like ', 'a ', 'piece ', 'of ', 'cake', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['a piece of cake']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Her aunt is a great cook, do you want a piece of cake?	['Her ', 'aunt ', 'is ', 'a ', 'great ', 'cook', ', ', 'do ', 'you ', 'want ', 'a ', 'piece ', 'of ', 'cake', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['a piece of cake']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
The test was a piece of cake!	['The ', 'test ', 'was ', 'a ', 'piece ', 'of ', 'cake', '!']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 1, 2, 2, 0]	['piece of cake']	english	['a piece of cake']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Bathing in hot water can be dangerous.	['Bathing ', 'in ', 'hot ', 'water ', 'can ', 'be ', 'dangerous', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
What are the effects of bathing in hot water?	['What ', 'are ', 'the ', 'effects ', 'of ', 'bathing ', 'in ', 'hot ', 'water', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Is soaking in hot water good for us?	['Is ', 'soaking ', 'in ', 'hot ', 'water ', 'good ', 'for ', 'us', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I must have switched cups, this is not my cup of tea.	['I ', 'must ', 'have ', 'switched ', 'cups', ', ', 'this ', 'is ', 'not ', 'my ', 'cup ', 'of ', 'tea', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['not my cup of tea']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
This is not my cup of tea, it's yours, in fact I hate black tea.	"['This ', 'is ', 'not ', 'my ', 'cup ', 'of ', 'tea', ', ', 'it', ""'s "", 'yours', ', ', 'in ', 'fact ', 'I ', 'hate ', 'black ', 'tea', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	['not my cup of tea']	[1.0]	False	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I love bread und butter for breakfast.	['I ', 'love ', 'bread ', 'und ', 'butter ', 'for ', 'breakfast', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Here are your sardines with bread and butter.	['Here ', 'are ', 'your ', 'sardines ', 'with ', 'bread ', 'and ', 'butter', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
What can I bring you? Maybe bread and butter?	['What ', 'can ', 'I ', 'bring ', 'you', '? ', 'Maybe ', 'bread ', 'and ', 'butter', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
