sentence,PIE,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids,true_idioms
The bullet hit the book in his pocket.,['hit the book'],False,1,"During the final round of the intense academic decathlon, the moderator fired off the tie-breaking question on a topic his rival had neglected to study, so everyone understood how in that moment the bullet hit the book in his pocket.","['During', 'the', 'final', 'round', 'of', 'the', 'intense', 'academic', 'decathlon', ',', 'the', 'moderator', 'fired', 'off', 'the', 'tie', '-', 'breaking', 'question', 'on', 'a', 'topic', 'his', 'rival', 'had', 'neglected', 'to', 'study', ',', 'so', 'everyone', 'understood', 'how', 'in', 'that', 'moment', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
The bullet hit the book in his pocket.,['hit the book'],False,2,"After the covert exchange went wrong in the university library, the agent knew he had to cram for his history final while also assessing the damage from the chase, realizing in that chaotic moment that the bullet hit the book in his pocket.","['After', 'the', 'covert', 'exchange', 'went', 'wrong', 'in', 'the', 'university', 'library', ',', 'the', 'agent', 'knew', 'he', 'had', 'to', 'cram', 'for', 'his', 'history', 'final', 'while', 'also', 'assessing', 'the', 'damage', 'from', 'the', 'chase', ',', 'realizing', 'in', 'that', 'chaotic', 'moment', 'that', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
The bullet hit the book in his pocket.,['hit the book'],False,3,"In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.","['In', 'the', 'combat', 'simulation', 'designed', 'to', 'test', 'cognitive', 'load', 'under', 'stress', ',', 'the', 'soldier', 'failed', 'a', 'pop', 'quiz', 'on', 'military', 'strategy', 'just', 'as', 'a', 'training', 'projectile', 'struck', 'his', 'tactical', 'vest', ',', 'and', 'the', 'after', '-', 'action', 'report', 'dryly', 'noted', 'that', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
The bullet hit the book in his pocket.,['hit the book'],False,4,"The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","['The', 'professor', ""'"", 's', 'lecture', 'on', 'literary', 'symbolism', 'was', 'so', 'intense', ',', 'he', 'described', 'the', 'protagonist', ""'"", 's', 'moment', 'of', 'tragic', 'realization', 'as', 'a', 'fatal', 'blow', 'to', 'his', 'willful', 'ignorance', ',', 'explaining', 'to', 'the', 'class', 'that', 'at', 'the', 'story', ""'"", 's', 'climax', ',', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
The bullet hit the book in his pocket.,['hit the book'],False,5,"As a part of his experimental art piece about the failures of the education system, the artist set up a firing range in a replica classroom, and for the finale, the bullet hit the book in his pocket.","['As', 'a', 'part', 'of', 'his', 'experimental', 'art', 'piece', 'about', 'the', 'failures', 'of', 'the', 'education', 'system', ',', 'the', 'artist', 'set', 'up', 'a', 'firing', 'range', 'in', 'a', 'replica', 'classroom', ',', 'and', 'for', 'the', 'finale', ',', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
Ostriches bury their head in the sand.,['bury their head in the sand'],False,1,"The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","['The', 'board', 'ignored', 'all', 'warnings', 'of', 'imminent', 'bankruptcy', ',', 'preferring', 'to', 'discuss', 'the', 'new', 'coffee', 'machine', ';', 'this', 'response', 'to', 'crisis', 'perfectly', 'demonstrates', 'the', 'flawed', 'survival', 'instinct', 'whereby', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
Ostriches bury their head in the sand.,['bury their head in the sand'],False,2,"The psychologist explained that denial is a powerful, primitive defense mechanism for avoiding emotional pain, noting that when some creatures perceive an overwhelming threat they cannot fight, ostriches bury their head in the sand.","['The', 'psychologist', 'explained', 'that', 'denial', 'is', 'a', 'powerful', ',', 'primitive', 'defense', 'mechanism', 'for', 'avoiding', 'emotional', 'pain', ',', 'noting', 'that', 'when', 'some', 'creatures', 'perceive', 'an', 'overwhelming', 'threat', 'they', 'cannot', 'fight', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
Ostriches bury their head in the sand.,['bury their head in the sand'],False,3,"Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","['Despite', 'daily', 'reports', 'of', 'ecological', 'collapse', ',', 'the', 'ruling', 'party', 'refused', 'to', 'acknowledge', 'the', 'crisis', ',', 'choosing', 'instead', 'to', 'focus', 'on', 'minor', 'diplomatic', 'issues', ';', 'their', 'policy', 'was', 'a', 'stark', 'reminder', 'that', 'in', 'some', 'ecosystems', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
Ostriches bury their head in the sand.,['bury their head in the sand'],False,4,"The nature documentary detailed various animal defense mechanisms, from the spectacular to the seemingly foolish, showing clips of creatures that play dead or ignore predators in the hope of being overlooked; this section on avoidance strategies concluded with the simple statement that ostriches bury their head in the sand.","['The', 'nature', 'documentary', 'detailed', 'various', 'animal', 'defense', 'mechanisms', ',', 'from', 'the', 'spectacular', 'to', 'the', 'seemingly', 'foolish', ',', 'showing', 'clips', 'of', 'creatures', 'that', 'play', 'dead', 'or', 'ignore', 'predators', 'in', 'the', 'hope', 'of', 'being', 'overlooked', ';', 'this', 'section', 'on', 'avoidance', 'strategies', 'concluded', 'with', 'the', 'simple', 'statement', 'that', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
Ostriches bury their head in the sand.,['bury their head in the sand'],False,5,"Rather than confront the clear evidence of their son's failing grades and truancy, the parents decided the best strategy was to simply not look at his report cards, operating under the same primitive logic that dictates ostriches bury their head in the sand.","['Rather', 'than', 'confront', 'the', 'clear', 'evidence', 'of', 'their', 'son', ""'"", 's', 'failing', 'grades', 'and', 'truancy', ',', 'the', 'parents', 'decided', 'the', 'best', 'strategy', 'was', 'to', 'simply', 'not', 'look', 'at', 'his', 'report', 'cards', ',', 'operating', 'under', 'the', 'same', 'primitive', 'logic', 'that', 'dictates', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
