model,prompt_type,seed,shots,sc_runs,temperature,language,matched_sentences,id10m_accuracy,id10m_precision,id10m_recall,id10m_f1,id10m_mcc,id10m_tp,id10m_tn,id10m_fp,id10m_fn,hard_accuracy,hard_precision,hard_recall,hard_f1,hard_mcc,hard_tp,hard_tn,hard_fp,hard_fn,context_degradation_index,variant_consistency_score,context_confusion_rate,literal_to_idiom_flip_rate,error_amplification_factor,phrase_overlap_confusion_rate,confusion_resistance_score,avg_confusion_rate,pct_highly_vulnerable,pct_helped,pct_hurt,pct_mixed,pct_no_change,total_confused_variants,overall_confusion_rate,literal_confusion_rate,idiomatic_confusion_rate
DeepSeek-R1,zero_shot,42,0,1,0.3,english,178,0.8651685393258427,0.9085365853658537,0.9430379746835443,0.9254658385093167,0.22646461422689126,149,5,15,9,0.8689138576779026,0.89453125,0.9662447257383966,0.9290060851926977,0.10526155502118312,458,6,54,16,-0.004329004329004339,0.9500624219725343,0.033707865168539325,1.0,0.9722222222222221,0.10112359550561797,0.11688311688311688,0.1310861423220974,9.550561797752808,2.8089887640449436,1.6853932584269662,6.741573033707865,88.76404494382022,18,0.03896103896103896,0.8666666666666667,0.011185682326621925
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,english,178,0.9325842696629213,0.9932432432432432,0.930379746835443,0.9607843137254902,0.7427148361649342,147,19,1,11,0.8913857677902621,0.9601769911504425,0.9156118143459916,0.9373650107991363,0.5392567603590743,434,42,18,40,0.04417670682730923,0.895131086142322,0.07865168539325842,0.5263157894736842,1.6111111111111105,0.033707865168539325,0.25301204819277107,0.10861423220973782,4.49438202247191,3.3707865168539324,1.6853932584269662,14.04494382022472,80.89887640449437,42,0.08433734939759036,0.2631578947368421,0.061224489795918366
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,english,178,0.9101123595505618,0.961038961038961,0.9367088607594937,0.9487179487179488,0.5887331002914779,148,14,6,10,0.8857677902621723,0.9025341130604289,0.9767932489451476,0.9381965552178317,0.23309182228052078,463,10,50,11,0.026748971193415582,0.9600499375780275,0.0599250936329588,1.0,1.2708333333333328,0.09363295880149813,0.19753086419753085,0.1142322097378277,8.98876404494382,3.3707865168539324,3.932584269662921,4.49438202247191,88.20224719101124,32,0.06584362139917696,0.7619047619047619,0.0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,english,178,0.898876404494382,0.9666666666666667,0.9177215189873418,0.9415584415584415,0.5791809498197579,145,15,5,13,0.8689138576779026,0.8960784313725491,0.9641350210970464,0.9288617886178862,0.12316704425670207,457,7,53,17,0.03333333333333329,0.9600499375780275,0.08426966292134831,1.0,1.2962962962962958,0.09925093632958802,0.28125,0.1310861423220974,10.674157303370785,5.056179775280898,6.179775280898876,6.741573033707865,82.02247191011236,45,0.09375,0.8444444444444444,0.016091954022988506
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,english,178,0.9157303370786517,0.9673202614379085,0.9367088607594937,0.9517684887459807,0.6241665245892352,148,15,5,10,0.8801498127340824,0.9083665338645418,0.9620253164556962,0.9344262295081969,0.25993849092234983,456,14,46,18,0.038854805725971345,0.9450686641697879,0.06741573033707865,0.9333333333333333,1.422222222222222,0.08614232209737828,0.22085889570552147,0.11985018726591759,8.98876404494382,2.8089887640449436,3.932584269662921,7.303370786516854,85.95505617977528,36,0.0736196319018405,0.6888888888888889,0.01126126126126126
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,english,178,0.9044943820224719,0.9668874172185431,0.9240506329113924,0.9449838187702266,0.5934248195504553,146,15,5,12,0.8801498127340824,0.9035433070866141,0.9683544303797469,0.9348268839103869,0.22258547189104347,459,11,49,15,0.026915113871635553,0.9450686641697879,0.07303370786516854,1.0,1.2549019607843133,0.09176029962546817,0.2422360248447205,0.11985018726591759,8.426966292134832,4.49438202247191,3.932584269662921,7.865168539325842,83.70786516853933,39,0.08074534161490683,0.7555555555555555,0.01141552511415525
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,english,178,0.9269662921348315,0.9617834394904459,0.9556962025316456,0.9587301587301587,0.6419286160375063,151,14,6,7,0.8576779026217228,0.8841698841698842,0.9662447257383966,0.9233870967741935,-0.06252901188727394,458,0,60,16,0.07474747474747481,0.9950062421972534,0.09176029962546817,1.0,1.94871794871795,0.11235955056179775,0.296969696969697,0.14232209737827717,13.48314606741573,2.247191011235955,8.426966292134832,1.6853932584269662,87.64044943820225,49,0.09898989898989899,1.0,0.01545253863134658
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,english,178,0.9269662921348315,0.9617834394904459,0.9556962025316456,0.9587301587301587,0.6419286160375063,151,14,6,7,0.8670411985018727,0.8867562380038387,0.9746835443037974,0.9286432160804019,-0.017724735915956313,462,1,59,12,0.06464646464646469,0.990012484394507,0.08239700374531835,1.0,1.8205128205128216,0.1104868913857678,0.26666666666666666,0.13295880149812736,12.359550561797752,2.247191011235955,7.303370786516854,2.247191011235955,88.20224719101124,44,0.08888888888888889,0.9761904761904762,0.006622516556291391
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,english,178,0.9101123595505618,0.9551282051282052,0.9430379746835443,0.9490445859872612,0.5690525917203408,149,13,7,9,0.8670411985018727,0.8867562380038387,0.9746835443037974,0.9286432160804019,-0.017724735915956313,462,1,59,12,0.04732510288065843,0.9950062421972534,0.07677902621722846,1.0,1.4791666666666665,0.1104868913857678,0.25308641975308643,0.13295880149812733,12.359550561797752,3.3707865168539324,6.741573033707865,1.6853932584269662,88.20224719101124,41,0.08436213991769548,0.9743589743589743,0.006711409395973154
gemini-2.5-pro,few_shot,42,10,5,0.8,english,178,0.9438202247191011,0.9933333333333333,0.9430379746835443,0.9675324675324676,0.7746202087162829,149,19,1,9,0.8801498127340824,0.930672268907563,0.9345991561181435,0.9326315789473685,0.390351317814084,443,27,33,31,0.06746031746031739,0.8451935081148565,0.09550561797752809,0.8421052631578947,2.1333333333333315,0.06179775280898876,0.30357142857142855,0.11985018726591759,4.49438202247191,2.8089887640449436,2.247191011235955,16.853932584269664,78.08988764044943,51,0.10119047619047619,0.5263157894736842,0.04697986577181208
gemini-2.5-pro,zero_shot,42,0,1,0.3,english,178,0.9382022471910112,1.0,0.930379746835443,0.9639344262295081,0.7747547986029841,147,20,0,11,0.9044943820224719,0.9433962264150944,0.9493670886075949,0.9463722397476341,0.5107261499141706,450,33,27,24,0.03592814371257482,0.895131086142322,0.07303370786516854,0.75,1.5454545454545447,0.05056179775280899,0.23353293413173654,0.09550561797752809,3.932584269662921,2.8089887640449436,2.247191011235955,12.359550561797752,82.58426966292134,39,0.07784431137724551,0.45,0.027210884353741496
gpt-4o,few_shot,42,10,5,0.8,english,178,0.9269662921348315,0.9801324503311258,0.9367088607594937,0.9579288025889968,0.6926075593438649,148,17,3,10,0.9101123595505618,0.9311740890688259,0.9704641350210971,0.9504132231404959,0.48443433594160534,460,26,34,14,0.018181818181818226,0.9051186017478152,0.056179775280898875,0.9411764705882353,1.2307692307692315,0.06367041198501873,0.18181818181818182,0.08988764044943819,3.932584269662921,3.3707865168539324,1.1235955056179776,11.235955056179774,84.26966292134831,30,0.06060606060606061,0.5098039215686274,0.009009009009009009
gpt-4o,zero_shot,42,0,1,0.3,english,178,0.9044943820224719,0.9668874172185431,0.9240506329113924,0.9449838187702266,0.5934248195504553,146,15,5,12,0.8857677902621723,0.9171717171717172,0.9578059071729957,0.9370485036119711,0.3331415852058136,454,19,41,20,0.020703933747411935,0.9350811485642947,0.05805243445692884,0.8,1.1960784313725483,0.07677902621722846,0.19254658385093168,0.11423220973782773,7.865168539325842,3.3707865168539324,2.8089887640449436,7.303370786516854,86.51685393258427,31,0.06418219461697723,0.5777777777777777,0.01141552511415525
gpt-4o-mini,few_shot,42,10,5,0.8,english,178,0.9325842696629213,0.974025974025974,0.9493670886075949,0.9615384615384615,0.6929025752933496,150,16,4,8,0.8951310861423221,0.9247967479674797,0.959915611814346,0.9420289855072465,0.40268625939579467,455,23,37,19,0.0401606425702811,0.930087390761548,0.06554307116104868,0.8125,1.555555555555555,0.06928838951310862,0.21084337349397592,0.10486891385767791,5.617977528089887,2.8089887640449436,1.6853932584269662,9.550561797752808,85.95505617977528,35,0.07028112449799197,0.5208333333333334,0.022222222222222223
