sentence	true_idioms	final_variant	variant_number	tokens	tags	tag_ids	language	predicted_idioms	ratios	hallucinated	predicted_tags
A rock has broken the ice covering a lake.	[]	At the silent corporate retreat, everyone was watching the notoriously quiet new executive, nicknamed 'The Rock' for his stoicism, hoping he would finally speak to ease the tension, when a loud crack echoed from outside, as a rock has broken the ice covering a lake.	1	"['At', 'the', 'silent', 'corporate', 'retreat', ',', 'everyone', 'was', 'watching', 'the', 'notoriously', 'quiet', 'new', 'executive', ',', 'nicknamed', ""'"", 'The', 'Rock', ""'"", 'for', 'his', 'stoicism', ',', 'hoping', 'he', 'would', 'finally', 'speak', 'to', 'ease', 'the', 'tension', ',', 'when', 'a', 'loud', 'crack', 'echoed', 'from', 'outside', ',', 'as', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
A rock has broken the ice covering a lake.	[]	While reviewing the environmental impact report for the company's winter retreat location in the mountains, where heavy snowfall had been recorded and icicles hung from the lodge, the manager noted to the director that a rock has broken the ice covering a lake.	2	"['While', 'reviewing', 'the', 'environmental', 'impact', 'report', 'for', 'the', 'company', ""'"", 's', 'winter', 'retreat', 'location', 'in', 'the', 'mountains', ',', 'where', 'heavy', 'snowfall', 'had', 'been', 'recorded', 'and', 'icicles', 'hung', 'from', 'the', 'lodge', ',', 'the', 'manager', 'noted', 'to', 'the', 'director', 'that', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
A rock has broken the ice covering a lake.	[]	During the tense diplomatic negotiations at the lakeside chalet, the lead delegate presented his final, unyielding proposal which he termed 'the rock', and at that exact moment, an aide entered to report on a minor geological event, stating that a rock has broken the ice covering a lake.	3	"['During', 'the', 'tense', 'diplomatic', 'negotiations', 'at', 'the', 'lakeside', 'chalet', ',', 'the', 'lead', 'delegate', 'presented', 'his', 'final', ',', 'unyielding', 'proposal', 'which', 'he', 'termed', ""'"", 'the', 'rock', ""'"", ',', 'and', 'at', 'that', 'exact', 'moment', ',', 'an', 'aide', 'entered', 'to', 'report', 'on', 'a', 'minor', 'geological', 'event', ',', 'stating', 'that', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
A rock has broken the ice covering a lake.	[]	Two psychologists observing a group of painfully shy strangers at a winter camp noted that one person finally made a joke, just as a small stone fell from a cliff onto the frozen pond, prompting one psychologist to say to the other that a rock has broken the ice covering a lake.	4	['Two', 'psychologists', 'observing', 'a', 'group', 'of', 'painfully', 'shy', 'strangers', 'at', 'a', 'winter', 'camp', 'noted', 'that', 'one', 'person', 'finally', 'made', 'a', 'joke', ',', 'just', 'as', 'a', 'small', 'stone', 'fell', 'from', 'a', 'cliff', 'onto', 'the', 'frozen', 'pond', ',', 'prompting', 'one', 'psychologist', 'to', 'say', 'to', 'the', 'other', 'that', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
A rock has broken the ice covering a lake.	[]	The rescue team debated whether the sharp geological formation or the powerful sound waves from their speakers would be the first thing to fracture the frozen surface where the victim was stranded, and the radio suddenly crackled, reporting that a rock has broken the ice covering a lake.	5	['The', 'rescue', 'team', 'debated', 'whether', 'the', 'sharp', 'geological', 'formation', 'or', 'the', 'powerful', 'sound', 'waves', 'from', 'their', 'speakers', 'would', 'be', 'the', 'first', 'thing', 'to', 'fracture', 'the', 'frozen', 'surface', 'where', 'the', 'victim', 'was', 'stranded', ',', 'and', 'the', 'radio', 'suddenly', 'crackled', ',', 'reporting', 'that', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The ship broke the ice all the way.	[]	During the tense diplomatic summit held aboard the arctic research vessel, the lead negotiator's unexpected joke finally got everyone to relax, and as the vessel resumed its journey, the ship broke the ice all the way.	1	"['During', 'the', 'tense', 'diplomatic', 'summit', 'held', 'aboard', 'the', 'arctic', 'research', 'vessel', ',', 'the', 'lead', 'negotiator', ""'"", 's', 'unexpected', 'joke', 'finally', 'got', 'everyone', 'to', 'relax', ',', 'and', 'as', 'the', 'vessel', 'resumed', 'its', 'journey', ',', 'the', 'ship', 'broke', 'the', 'ice', 'all', 'the', 'way', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	['broke the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']
The ship broke the ice all the way.	[]	After the CEO's presentation finally won over the skeptical northern clients for the new trade route, the live video feed showed their new flagship vessel making its inaugural journey, proving that the ship broke the ice all the way.	2	"['After', 'the', 'CEO', ""'"", 's', 'presentation', 'finally', 'won', 'over', 'the', 'skeptical', 'northern', 'clients', 'for', 'the', 'new', 'trade', 'route', ',', 'the', 'live', 'video', 'feed', 'showed', 'their', 'new', 'flagship', 'vessel', 'making', 'its', 'inaugural', 'journey', ',', 'proving', 'that', 'the', 'ship', 'broke', 'the', 'ice', 'all', 'the', 'way', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	['broke the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']
The ship broke the ice all the way.	[]	Demonstrating the new AI moderator codenamed 'SHIP' on a hostile forum, the developer pointed to the screen where the program's progress was visualized as a vessel clearing a frozen sea and announced that the ship broke the ice all the way.	5	"['Demonstrating', 'the', 'new', 'AI', 'moderator', 'codenamed', ""'"", 'SHIP', ""'"", 'on', 'a', 'hostile', 'forum', ',', 'the', 'developer', 'pointed', 'to', 'the', 'screen', 'where', 'the', 'program', ""'"", 's', 'progress', 'was', 'visualized', 'as', 'a', 'vessel', 'clearing', 'a', 'frozen', 'sea', 'and', 'announced', 'that', 'the', 'ship', 'broke', 'the', 'ice', 'all', 'the', 'way', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	english	['broke the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']
This is a perfect way to break the ice and start the conversation.	['break the ice']	The new recruits for the Antarctic research mission stood awkwardly by the frozen fjord, unsure how to begin their first team-building exercise which involved moving equipment across the water, so when the leader handed them a large mallet, he knew this is a perfect way to break the ice and start the conversation.	1	['The', 'new', 'recruits', 'for', 'the', 'Antarctic', 'research', 'mission', 'stood', 'awkwardly', 'by', 'the', 'frozen', 'fjord', ',', 'unsure', 'how', 'to', 'begin', 'their', 'first', 'team', '-', 'building', 'exercise', 'which', 'involved', 'moving', 'equipment', 'across', 'the', 'water', ',', 'so', 'when', 'the', 'leader', 'handed', 'them', 'a', 'large', 'mallet', ',', 'he', 'knew', 'this', 'is', 'a', 'perfect', 'way', 'to', 'break', 'the', 'ice', 'and', 'start', 'the', 'conversation', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
This is a perfect way to break the ice and start the conversation.	['break the ice']	At the gallery opening for the new ice sculpture exhibit, the two rival artists stood silently beside their frozen creations until the host brought over a tiny, ceremonial hammer for the inaugural chipping, believing this is a perfect way to break the ice and start the conversation.	2	['At', 'the', 'gallery', 'opening', 'for', 'the', 'new', 'ice', 'sculpture', 'exhibit', ',', 'the', 'two', 'rival', 'artists', 'stood', 'silently', 'beside', 'their', 'frozen', 'creations', 'until', 'the', 'host', 'brought', 'over', 'a', 'tiny', ',', 'ceremonial', 'hammer', 'for', 'the', 'inaugural', 'chipping', ',', 'believing', 'this', 'is', 'a', 'perfect', 'way', 'to', 'break', 'the', 'ice', 'and', 'start', 'the', 'conversation', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]	english	['break the ice']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
