sentence,PIE,is_figurative,variant_number,Valid?,variant_sentence,tokens,tags,tag_ids,true_idioms
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],TRUE,1,V,"In unserem absurden Theaterstück ist das deine zugewiesene Rolle, aber du bist selbst unzufrieden und schmollst nur in der Ecke, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['In', 'unserem', 'absurden', 'Theaterstück', 'ist', 'das', 'deine', 'zugewiesene', 'Rolle', ',', 'aber', 'du', 'bist', 'selbst', 'unzufrieden', 'und', 'schmollst', 'nur', 'in', 'der', 'Ecke', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],TRUE,2,V,"Beim Scharade-Spielen ist das der Begriff, den du darstellen sollst, doch anstatt es richtig zu versuchen, wirst du nur wütend auf das ratende Team, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Beim', 'Scharade', '-', 'Spielen', 'ist', 'das', 'der', 'Begriff', ',', 'den', 'du', 'darstellen', 'sollst', ',', 'doch', 'anstatt', 'es', 'richtig', 'zu', 'versuchen', ',', 'wirst', 'du', 'nur', 'wütend', 'auf', 'das', 'ratende', 'Team', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],TRUE,3,X,"Für die neue Werbekampagne unserer Metzgerei wurdest du als Maskottchen engagiert, aber du bist sichtlich genervt von dem Kostüm, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Für', 'die', 'neue', 'Werbekampagne', 'unserer', 'Metzgerei', 'wurdest', 'du', 'als', 'Maskottchen', 'engagiert', ',', 'aber', 'du', 'bist', 'sichtlich', 'genervt', 'von', 'dem', 'Kostüm', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],TRUE,4,V,"In dieser Therapiesitzung geht es darum, Gefühle durch Rollenspiele auszudrücken, aber du weigerst dich teilzunehmen und schweigst nur bockig, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['In', 'dieser', 'Therapiesitzung', 'geht', 'es', 'darum', ',', 'Gefühle', 'durch', 'Rollenspiele', 'auszudrücken', ',', 'aber', 'du', 'weigerst', 'dich', 'teilzunehmen', 'und', 'schweigst', 'nur', 'bockig', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],TRUE,5,X,"Anstatt mit der Wurstfigur eine lustige Szene für unser Puppentheater aufzuführen, lässt du sie nur regungslos dasitzen und bist selbst eingeschnappt, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Anstatt', 'mit', 'der', 'Wurstfigur', 'eine', 'lustige', 'Szene', 'für', 'unser', 'Puppentheater', 'aufzuführen', ',', 'lässt', 'du', 'sie', 'nur', 'regungslos', 'dasitzen', 'und', 'bist', 'selbst', 'eingeschnappt', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],TRUE,1,V,"Bei den Verhandlungen mit dem Vermieter, der wegen des Hundes Bedenken hatte, haben wir betont, dass eine gute Erziehung Schäden vermeidet und die pünktliche Zahlung sichert, denn gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.","['Bei', 'den', 'Verhandlungen', 'mit', 'dem', 'Vermieter', ',', 'der', 'wegen', 'des', 'Hundes', 'Bedenken', 'hatte', ',', 'haben', 'wir', 'betont', ',', 'dass', 'eine', 'gute', 'Erziehung', 'Schäden', 'vermeidet', 'und', 'die', 'pünktliche', 'Zahlung', 'sichert', ',', 'denn', 'gegenseitiges', 'Verstehen', 'ist', 'die', 'halbe', 'Miete', '!', 'Zum', 'Thema', 'Verständigung', 'mit', 'deinem', 'Welpen', 'und', 'somit', 'auch', 'mit', 'deinem', 'später', 'erwachsenen', 'Hund', 'ist', 'noch', 'einiges', 'zu', 'sagen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['halbe Miete']
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],TRUE,2,V,"Als wir den Mietvertrag für unsere erste gemeinsame Wohnung unterschrieben und gleichzeitig den Welpen adoptierten, wussten wir, dass klare Absprachen über Kosten und Pflichten entscheidend sein würden, denn gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.","['Als', 'wir', 'den', 'Mietvertrag', 'für', 'unsere', 'erste', 'gemeinsame', 'Wohnung', 'unterschrieben', 'und', 'gleichzeitig', 'den', 'Welpen', 'adoptierten', ',', 'wussten', 'wir', ',', 'dass', 'klare', 'Absprachen', 'über', 'Kosten', 'und', 'Pflichten', 'entscheidend', 'sein', 'würden', ',', 'denn', 'gegenseitiges', 'Verstehen', 'ist', 'die', 'halbe', 'Miete', '!', 'Zum', 'Thema', 'Verständigung', 'mit', 'deinem', 'Welpen', 'und', 'somit', 'auch', 'mit', 'deinem', 'später', 'erwachsenen', 'Hund', 'ist', 'noch', 'einiges', 'zu', 'sagen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['halbe Miete']
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],TRUE,3,X,"Nachdem wir die hohen Kosten für unsere neue Wohnung und die zusätzlichen Ausgaben für den Welpen kalkuliert hatten, war klar, dass wir nur durch enge Zusammenarbeit über die Runden kommen, weshalb gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.","['Nachdem', 'wir', 'die', 'hohen', 'Kosten', 'für', 'unsere', 'neue', 'Wohnung', 'und', 'die', 'zusätzlichen', 'Ausgaben', 'für', 'den', 'Welpen', 'kalkuliert', 'hatten', ',', 'war', 'klar', ',', 'dass', 'wir', 'nur', 'durch', 'enge', 'Zusammenarbeit', 'über', 'die', 'Runden', 'kommen', ',', 'weshalb', 'gegenseitiges', 'Verstehen', 'ist', 'die', 'halbe', 'Miete', '!', 'Zum', 'Thema', 'Verständigung', 'mit', 'deinem', 'Welpen', 'und', 'somit', 'auch', 'mit', 'deinem', 'später', 'erwachsenen', 'Hund', 'ist', 'noch', 'einiges', 'zu', 'sagen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['halbe Miete']
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],TRUE,4,V,"Für unsere Hundetagesstätte zahlen wir eine erhebliche Pacht, und der Erfolg, der diese Kosten deckt, hängt vollständig von unserem Umgang mit den Tieren ab, daher gilt: gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.","['Für', 'unsere', 'Hundetagesstätte', 'zahlen', 'wir', 'eine', 'erhebliche', 'Pacht', ',', 'und', 'der', 'Erfolg', ',', 'der', 'diese', 'Kosten', 'deckt', ',', 'hängt', 'vollständig', 'von', 'unserem', 'Umgang', 'mit', 'den', 'Tieren', 'ab', ',', 'daher', 'gilt', ':', 'gegenseitiges', 'Verstehen', 'ist', 'die', 'halbe', 'Miete', '!', 'Zum', 'Thema', 'Verständigung', 'mit', 'deinem', 'Welpen', 'und', 'somit', 'auch', 'mit', 'deinem', 'später', 'erwachsenen', 'Hund', 'ist', 'noch', 'einiges', 'zu', 'sagen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['halbe Miete']
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],TRUE,5,EXTRA,"Nachdem mein Mitbewohner und ich wochenlang über die Aufteilung der Haushaltskosten gestritten hatten, brachte der neue Welpe uns dazu, endlich aufeinander einzugehen, denn gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.","['Nachdem', 'mein', 'Mitbewohner', 'und', 'ich', 'wochenlang', 'über', 'die', 'Aufteilung', 'der', 'Haushaltskosten', 'gestritten', 'hatten', ',', 'brachte', 'der', 'neue', 'Welpe', 'uns', 'dazu', ',', 'endlich', 'aufeinander', 'einzugehen', ',', 'denn', 'gegenseitiges', 'Verstehen', 'ist', 'die', 'halbe', 'Miete', '!', 'Zum', 'Thema', 'Verständigung', 'mit', 'deinem', 'Welpen', 'und', 'somit', 'auch', 'mit', 'deinem', 'später', 'erwachsenen', 'Hund', 'ist', 'noch', 'einiges', 'zu', 'sagen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['halbe Miete']
