model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
deepseek-r1,zero_shot,42,0,1,0.3,0.9558401413115478,0.8398386665219334,0.8770654242589538,0.8569508272940848,1
llama-4-scout,few_shot,42,10,5,0.8,0.9489953632148377,0.8568630123132225,0.7911385516131757,0.8212717104791706,0
llama-4-scout,few_shot,43,10,5,0.8,0.9461249724000883,0.8657547760715847,0.7618961439839603,0.8071909735545276,0
llama-4-scout,few_shot,44,10,5,0.8,0.944137778759108,0.8523615068095703,0.7676997338027616,0.8054769223473319,1
llama-4-scout,zero_shot,42,0,1,0.3,0.9311106204460146,0.8020109246233799,0.7358820290992044,0.7658403185856871,0
llama-4-scout,zero_shot,43,0,1,0.3,0.9328770147935527,0.8074703756333862,0.7424696159819959,0.7720550710513722,0
llama-4-scout,zero_shot,44,0,1,0.3,0.9330978140869949,0.8072972685080476,0.7459116993796862,0.7739892645566212,0
qwen-2.5-72b-instruct,few_shot,42,10,5,0.8,0.948332965334511,0.8040823829655045,0.8719820727030648,0.8344170447654249,0
qwen-2.5-72b-instruct,few_shot,43,10,5,0.8,0.9580481342459705,0.8359955806999272,0.8922948566510801,0.8620137775641336,0
qwen-2.5-72b-instruct,few_shot,44,10,5,0.8,0.9518657540295871,0.8139261239533556,0.8715674645842587,0.8399047032368747,0
qwen-2.5-72b-instruct,zero_shot,42,0,1,0.3,0.9342018105542063,0.765924862300449,0.841988136653418,0.7986735780528228,0
qwen-2.5-72b-instruct,zero_shot,43,0,1,0.3,0.9379553985427247,0.7720564591803903,0.8509316635175196,0.8062735171040174,0
qwen-2.5-72b-instruct,zero_shot,44,0,1,0.3,0.9353058070214175,0.7693255415730338,0.8508818078993429,0.8042512331065081,0
claude-3-haiku-20240307,few_shot,42,10,5,0.8,0.8785603886067564,0.7396021532642344,0.35079557605837514,0.346395719020759,190
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.8772355928461029,0.6815052494406334,0.34021750012871393,0.32567351323867205,198
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.8792227864870833,0.7403174603174603,0.35936414753749174,0.362760466625699,192
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.8814307794215058,0.6378125351019617,0.5076615118100397,0.5510057130996604,105
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.8737028041510267,0.6075501295784906,0.5114398278541402,0.5464108665360914,100
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.8695076175756238,0.5905016227058666,0.48825283578031625,0.5232120225715401,107
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.9712960918525061,0.9118546465988141,0.8790974171262937,0.8945414855240034,0
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,0.9487745639213955,0.8328779687724733,0.8404692846551973,0.8361544943264071,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.9540737469640097,0.8374831907956172,0.8607178448045115,0.8483899709769004,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.9529697504967984,0.8393325336782035,0.8633276931704966,0.8507772493241573,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.9476705674541841,0.8155746859980807,0.8402209427103234,0.8269057125985265,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.9315522190328991,0.7898118865944089,0.7394222060827862,0.7625275171724519,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.9317730183263414,0.7910594002951656,0.7387059166092134,0.7626335910212049,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.9326562155001104,0.7992099703626602,0.7391989002004155,0.7664334723871583,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.9648929123426805,0.8565698356597364,0.9048142644432454,0.8790014263076994,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.9496577610951645,0.806854504551508,0.8913485422024973,0.8443157460901124,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.9489953632148377,0.8663060339228784,0.7818643585424647,0.8194885646865927,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.9445793773459925,0.8585440651453924,0.7429315320732707,0.7920714369698532,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.9507617575623758,0.8729566932499845,0.7841363566115781,0.8235545029189592,0
gpt-4o-mini,zero_shot,42,0,1,0.3,0.9189666593066902,0.7615686968747676,0.6666744559919305,0.706548811075283,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.9209538529476705,0.7706555725752354,0.6741462161726884,0.7147269145597507,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.9180834621329211,0.7613232815680755,0.6613800840861107,0.702969994663878,0
gpt-4o,few_shot,42,10,5,0.8,0.9640097151689114,0.8741607863577522,0.8830436169947878,0.8780163710691289,0
gpt-4o,zero_shot,42,0,1,0.3,0.9448001766394347,0.8277114313235558,0.7964313058685342,0.8107020295158874,0
o3-mini,zero_shot,42,0,1,0.3,0.9421505851181277,0.8183329996846892,0.7879074885654163,0.8018907924330404,0
