sentence,PIE,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids,true_idioms
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],True,1,"Eine Verkehrssicherheitsorganisation verteilte im Rahmen einer Kampagne leuchtend orange Leitkegel an die jüngsten Besucher, und unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.","['Eine', 'Verkehrssicherheitsorganisation', 'verteilte', 'im', 'Rahmen', 'einer', 'Kampagne', 'leuchtend', 'orange', 'Leitkegel', 'an', 'die', 'jüngsten', 'Besucher', ',', 'und', 'unbeeindruckt', 'von', 'der', 'schwelenden', 'Regierungskrise', 'strömten', 'die', 'Franzosen', '–', 'buchstäblich', 'mit', 'Kind', 'und', 'Kegel', '–', 'zehn', 'Tage', 'zum', '""', 'Grand', 'Palais', '""', 'an', 'den', 'Champs', '-', 'Elysees', ',', 'um', 'die', 'Parade', 'der', 'dort', 'dekorativ', 'zur', 'Schau', 'gestellten', 'Personenwagen', 'aller', 'führenden', 'Automobilfabriken', 'der', 'Welt', 'abzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['mit Kind und Kegel']
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],True,2,"Die nationale Jugendmeisterschaft im Sportkegeln war gerade in einer benachbarten Halle zu Ende gegangen, und unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.","['Die', 'nationale', 'Jugendmeisterschaft', 'im', 'Sportkegeln', 'war', 'gerade', 'in', 'einer', 'benachbarten', 'Halle', 'zu', 'Ende', 'gegangen', ',', 'und', 'unbeeindruckt', 'von', 'der', 'schwelenden', 'Regierungskrise', 'strömten', 'die', 'Franzosen', '–', 'buchstäblich', 'mit', 'Kind', 'und', 'Kegel', '–', 'zehn', 'Tage', 'zum', '""', 'Grand', 'Palais', '""', 'an', 'den', 'Champs', '-', 'Elysees', ',', 'um', 'die', 'Parade', 'der', 'dort', 'dekorativ', 'zur', 'Schau', 'gestellten', 'Personenwagen', 'aller', 'führenden', 'Automobilfabriken', 'der', 'Welt', 'abzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['mit Kind und Kegel']
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],True,3,"Eine moderne Kunstinstallation vor dem Gebäude lud die Besucher ein, einen von tausenden bunten Plastikkegeln als Souvenir mitzunehmen, und unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.","['Eine', 'moderne', 'Kunstinstallation', 'vor', 'dem', 'Gebäude', 'lud', 'die', 'Besucher', 'ein', ',', 'einen', 'von', 'tausenden', 'bunten', 'Plastikkegeln', 'als', 'Souvenir', 'mitzunehmen', ',', 'und', 'unbeeindruckt', 'von', 'der', 'schwelenden', 'Regierungskrise', 'strömten', 'die', 'Franzosen', '–', 'buchstäblich', 'mit', 'Kind', 'und', 'Kegel', '–', 'zehn', 'Tage', 'zum', '""', 'Grand', 'Palais', '""', 'an', 'den', 'Champs', '-', 'Elysees', ',', 'um', 'die', 'Parade', 'der', 'dort', 'dekorativ', 'zur', 'Schau', 'gestellten', 'Personenwagen', 'aller', 'führenden', 'Automobilfabriken', 'der', 'Welt', 'abzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['mit Kind und Kegel']
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],True,4,"Die Automesse stand dieses Jahr unter einem Zirkusmotto mit Jongleuren, die überall auf dem Gelände ihre Tricks mit bunten Kegeln vorführten, und unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.","['Die', 'Automesse', 'stand', 'dieses', 'Jahr', 'unter', 'einem', 'Zirkusmotto', 'mit', 'Jongleuren', ',', 'die', 'überall', 'auf', 'dem', 'Gelände', 'ihre', 'Tricks', 'mit', 'bunten', 'Kegeln', 'vorführten', ',', 'und', 'unbeeindruckt', 'von', 'der', 'schwelenden', 'Regierungskrise', 'strömten', 'die', 'Franzosen', '–', 'buchstäblich', 'mit', 'Kind', 'und', 'Kegel', '–', 'zehn', 'Tage', 'zum', '""', 'Grand', 'Palais', '""', 'an', 'den', 'Champs', '-', 'Elysees', ',', 'um', 'die', 'Parade', 'der', 'dort', 'dekorativ', 'zur', 'Schau', 'gestellten', 'Personenwagen', 'aller', 'führenden', 'Automobilfabriken', 'der', 'Welt', 'abzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['mit Kind und Kegel']
"Unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.",['mit  Kind  und  Kegel'],True,5,"Eine kleine Gruppe von Satirikern hatte im Vorfeld dazu aufgerufen, als stillen Protest gegen die Politik Verkehrsleitkegel mit zur Messe zu bringen, und unbeeindruckt von der schwelenden Regierungskrise strömten die Franzosen – buchstäblich mit Kind und Kegel – zehn Tage zum ""Grand Palais"" an den Champs-Elysees, um die Parade der dort dekorativ zur Schau gestellten Personenwagen aller führenden Automobilfabriken der Welt abzunehmen.","['Eine', 'kleine', 'Gruppe', 'von', 'Satirikern', 'hatte', 'im', 'Vorfeld', 'dazu', 'aufgerufen', ',', 'als', 'stillen', 'Protest', 'gegen', 'die', 'Politik', 'Verkehrsleitkegel', 'mit', 'zur', 'Messe', 'zu', 'bringen', ',', 'und', 'unbeeindruckt', 'von', 'der', 'schwelenden', 'Regierungskrise', 'strömten', 'die', 'Franzosen', '–', 'buchstäblich', 'mit', 'Kind', 'und', 'Kegel', '–', 'zehn', 'Tage', 'zum', '""', 'Grand', 'Palais', '""', 'an', 'den', 'Champs', '-', 'Elysees', ',', 'um', 'die', 'Parade', 'der', 'dort', 'dekorativ', 'zur', 'Schau', 'gestellten', 'Personenwagen', 'aller', 'führenden', 'Automobilfabriken', 'der', 'Welt', 'abzunehmen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['mit Kind und Kegel']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],True,1,"In unserem absurden Theaterstück ist das deine zugewiesene Rolle, aber du bist selbst unzufrieden und schmollst nur in der Ecke, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['In', 'unserem', 'absurden', 'Theaterstück', 'ist', 'das', 'deine', 'zugewiesene', 'Rolle', ',', 'aber', 'du', 'bist', 'selbst', 'unzufrieden', 'und', 'schmollst', 'nur', 'in', 'der', 'Ecke', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],True,2,"Beim Scharade-Spielen ist das der Begriff, den du darstellen sollst, doch anstatt es richtig zu versuchen, wirst du nur wütend auf das ratende Team, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Beim', 'Scharade', '-', 'Spielen', 'ist', 'das', 'der', 'Begriff', ',', 'den', 'du', 'darstellen', 'sollst', ',', 'doch', 'anstatt', 'es', 'richtig', 'zu', 'versuchen', ',', 'wirst', 'du', 'nur', 'wütend', 'auf', 'das', 'ratende', 'Team', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],True,3,"Für die neue Werbekampagne unserer Metzgerei wurdest du als Maskottchen engagiert, aber du bist sichtlich genervt von dem Kostüm, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Für', 'die', 'neue', 'Werbekampagne', 'unserer', 'Metzgerei', 'wurdest', 'du', 'als', 'Maskottchen', 'engagiert', ',', 'aber', 'du', 'bist', 'sichtlich', 'genervt', 'von', 'dem', 'Kostüm', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],True,4,"In dieser Therapiesitzung geht es darum, Gefühle durch Rollenspiele auszudrücken, aber du weigerst dich teilzunehmen und schweigst nur bockig, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['In', 'dieser', 'Therapiesitzung', 'geht', 'es', 'darum', ',', 'Gefühle', 'durch', 'Rollenspiele', 'auszudrücken', ',', 'aber', 'du', 'weigerst', 'dich', 'teilzunehmen', 'und', 'schweigst', 'nur', 'bockig', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],True,5,"Anstatt mit der Wurstfigur eine lustige Szene für unser Puppentheater aufzuführen, lässt du sie nur regungslos dasitzen und bist selbst eingeschnappt, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.","['Anstatt', 'mit', 'der', 'Wurstfigur', 'eine', 'lustige', 'Szene', 'für', 'unser', 'Puppentheater', 'aufzuführen', ',', 'lässt', 'du', 'sie', 'nur', 'regungslos', 'dasitzen', 'und', 'bist', 'selbst', 'eingeschnappt', ',', 'hör', '’', 'jetzt', 'endlich', 'auf', 'die', 'beleidigte', 'Leberwurst', 'zu', 'spielen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",['beleidigte Leberwurst']
