sentence,PIE,true_idioms,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,1,"Surveying the coastline after the great autumnal tempest had leveled the nascent industrial parks, the engineer observed the frantic activity of the shipwrights making repairs; how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['Surveying', 'the', 'coastline', 'after', 'the', 'great', 'autumnal', 'tempest', 'had', 'leveled', 'the', 'nascent', 'industrial', 'parks', ',', 'the', 'engineer', 'observed', 'the', 'frantic', 'activity', 'of', 'the', 'shipwrights', 'making', 'repairs', ';', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,2,"Massive, prefabricated stacks for the new mills were lined up horizontally on barges and railcars, awaiting the giant cranes needed for their installation, and so how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['Massive', ',', 'prefabricated', 'stacks', 'for', 'the', 'new', 'mills', 'were', 'lined', 'up', 'horizontally', 'on', 'barges', 'and', 'railcars', ',', 'awaiting', 'the', 'giant', 'cranes', 'needed', 'for', 'their', 'installation', ',', 'and', 'so', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,3,"The artisan paused in his work, contemplating the vast, unfinished diorama meant to capture the nation's industrial might, with all its tiny components still laid out in their trays; how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['The', 'artisan', 'paused', 'in', 'his', 'work', ',', 'contemplating', 'the', 'vast', ',', 'unfinished', 'diorama', 'meant', 'to', 'capture', 'the', 'nation', ""'"", 's', 'industrial', 'might', ',', 'with', 'all', 'its', 'tiny', 'components', 'still', 'laid', 'out', 'in', 'their', 'trays', ';', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,4,"On the grand strategic map of national development, tokens for active industries stood tall, while the zones planned for textile manufacturing remained conspicuously flat and unadorned, thus explaining how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['On', 'the', 'grand', 'strategic', 'map', 'of', 'national', 'development', ',', 'tokens', 'for', 'active', 'industries', 'stood', 'tall', ',', 'while', 'the', 'zones', 'planned', 'for', 'textile', 'manufacturing', 'remained', 'conspicuously', 'flat', 'and', 'unadorned', ',', 'thus', 'explaining', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,5,"After the cataclysmic landslip had sheared the foundations from beneath the new factories, all eyes were on the unaffected financial sector to see how it would react, yet how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['After', 'the', 'cataclysmic', 'landslip', 'had', 'sheared', 'the', 'foundations', 'from', 'beneath', 'the', 'new', 'factories', ',', 'all', 'eyes', 'were', 'on', 'the', 'unaffected', 'financial', 'sector', 'to', 'see', 'how', 'it', 'would', 'react', ',', 'yet', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on end'],['on end'],True,6,"The economic theorist described the recent boom in shipping and finance as the first domino to be set upright, triggering a potential cascade of prosperity, but how silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!","['The', 'economic', 'theorist', 'described', 'the', 'recent', 'boom', 'in', 'shipping', 'and', 'finance', 'as', 'the', 'first', 'domino', 'to', 'be', 'set', 'upright', ',', 'triggering', 'a', 'potential', 'cascade', 'of', 'prosperity', ',', 'but', 'how', 'silent', ',', 'on', 'the', 'other', 'hand', ',', 'lie', 'all', 'Cotton', '-', 'trades', 'and', 'such', 'like', ';', 'not', 'a', 'steeple', '-', 'chimney', 'yet', 'got', 'on', 'end', 'from', 'sea', 'to', 'sea', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,1,"The aunt, a retired stage actress famous for her melodramatic flair, was simultaneously coaching a young protégée on how to produce large, theatrical tears for an upcoming role, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['The', 'aunt', ',', 'a', 'retired', 'stage', 'actress', 'famous', 'for', 'her', 'melodramatic', 'flair', ',', 'was', 'simultaneously', 'coaching', 'a', 'young', 'protégée', 'on', 'how', 'to', 'produce', 'large', ',', 'theatrical', 'tears', 'for', 'an', 'upcoming', 'role', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,2,"Just before her husband's passing, the aunt's ancient and beloved pet caiman, which she had raised from a hatchling, also died, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['Just', 'before', 'her', 'husband', ""'"", 's', 'passing', ',', 'the', 'aunt', ""'"", 's', 'ancient', 'and', 'beloved', 'pet', 'caiman', ',', 'which', 'she', 'had', 'raised', 'from', 'a', 'hatchling', ',', 'also', 'died', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,3,"Her aunt had become obsessed with a new, bizarrely expensive brand of rejuvenating eye drops from Paris called 'Larmes de Crocodile', which she applied constantly and theatrically, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['Her', 'aunt', 'had', 'become', 'obsessed', 'with', 'a', 'new', ',', 'bizarrely', 'expensive', 'brand', 'of', 'rejuvenating', 'eye', 'drops', 'from', 'Paris', 'called', ""'"", 'Larmes', 'de', 'Crocodile', ""'"", ',', 'which', 'she', 'applied', 'constantly', 'and', 'theatrically', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,4,"Living on a vast estate in the Florida Everglades, the aunt had developed a strange and public affection for the local reptiles, often lamenting their plight in her conversations, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['Living', 'on', 'a', 'vast', 'estate', 'in', 'the', 'Florida', 'Everglades', ',', 'the', 'aunt', 'had', 'developed', 'a', 'strange', 'and', 'public', 'affection', 'for', 'the', 'local', 'reptiles', ',', 'often', 'lamenting', 'their', 'plight', 'in', 'her', 'conversations', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
