sentence,PIE,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids,true_idioms
We rang the bell but nobody answered.,['rang the bell'],False,1,"During the final round of the trivia competition, we were certain our historical fact was the correct response needed to win, so we rang the bell but nobody answered.","['During', 'the', 'final', 'round', 'of', 'the', 'trivia', 'competition', ',', 'we', 'were', 'certain', 'our', 'historical', 'fact', 'was', 'the', 'correct', 'response', 'needed', 'to', 'win', ',', 'so', 'we', 'rang', 'the', 'bell', 'but', 'nobody', 'answered', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
We rang the bell but nobody answered.,['rang the bell'],False,2,"At the investor summit, we felt our innovative proposal achieved the exact breakthrough the judges were looking for, so we rang the bell but nobody answered.","['At', 'the', 'investor', 'summit', ',', 'we', 'felt', 'our', 'innovative', 'proposal', 'achieved', 'the', 'exact', 'breakthrough', 'the', 'judges', 'were', 'looking', 'for', ',', 'so', 'we', 'rang', 'the', 'bell', 'but', 'nobody', 'answered', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
We rang the bell but nobody answered.,['rang the bell'],False,3,"While reviewing the old case files, we found a witness statement that seemed to perfectly match the killer's profile, and in our excitement for the new lead we rang the bell but nobody answered.","['While', 'reviewing', 'the', 'old', 'case', 'files', ',', 'we', 'found', 'a', 'witness', 'statement', 'that', 'seemed', 'to', 'perfectly', 'match', 'the', 'killer', ""'"", 's', 'profile', ',', 'and', 'in', 'our', 'excitement', 'for', 'the', 'new', 'lead', 'we', 'rang', 'the', 'bell', 'but', 'nobody', 'answered', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
We rang the bell but nobody answered.,['rang the bell'],False,4,"On the stock exchange floor, our trade was meant to be the major signal that triggered the afternoon rally, and at the designated moment we rang the bell but nobody answered.","['On', 'the', 'stock', 'exchange', 'floor', ',', 'our', 'trade', 'was', 'meant', 'to', 'be', 'the', 'major', 'signal', 'that', 'triggered', 'the', 'afternoon', 'rally', ',', 'and', 'at', 'the', 'designated', 'moment', 'we', 'rang', 'the', 'bell', 'but', 'nobody', 'answered', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
We rang the bell but nobody answered.,['rang the bell'],False,5,"In the audiology lab, we administered the specific frequency that was supposed to be clearly audible to the test subject, and as the equipment indicated a successful stimulus, we rang the bell but nobody answered.","['In', 'the', 'audiology', 'lab', ',', 'we', 'administered', 'the', 'specific', 'frequency', 'that', 'was', 'supposed', 'to', 'be', 'clearly', 'audible', 'to', 'the', 'test', 'subject', ',', 'and', 'as', 'the', 'equipment', 'indicated', 'a', 'successful', 'stimulus', ',', 'we', 'rang', 'the', 'bell', 'but', 'nobody', 'answered', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],False,1,"I can't believe the final exam is going to be this difficult, I'll never pass.","['I', 'can', ""'"", 't', 'believe', 'the', 'final', 'exam', 'is', 'going', 'to', 'be', 'this', 'difficult', ',', 'I', ""'"", 'll', 'never', 'pass', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],False,2,"Don't worry, Sarah's aunt is the one who writes the test and she's known for making it incredibly straightforward, plus she always brings treats to the review sessions.","['Don', ""'"", 't', 'worry', ',', 'Sarah', ""'"", 's', 'aunt', 'is', 'the', 'one', 'who', 'writes', 'the', 'test', 'and', 'she', ""'"", 's', 'known', 'for', 'making', 'it', 'incredibly', 'straightforward', ',', 'plus', 'she', 'always', 'brings', 'treats', 'to', 'the', 'review', 'sessions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],False,3,"I heard her aunt is a great cook, do you want a piece of cake?","['I', 'heard', 'her', 'aunt', 'is', 'a', 'great', 'cook', ',', 'do', 'you', 'want', 'a', 'piece', 'of', 'cake', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],False,4,"That rock climbing route looks impossible, and the competition is tomorrow.","['That', 'rock', 'climbing', 'route', 'looks', 'impossible', ',', 'and', 'the', 'competition', 'is', 'tomorrow', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],False,5,"I know, but the person who set the route is Chloe's aunt, and she's famous for creating deceptively simple paths that look hard.","['I', 'know', ',', 'but', 'the', 'person', 'who', 'set', 'the', 'route', 'is', 'Chloe', ""'"", 's', 'aunt', ',', 'and', 'she', ""'"", 's', 'famous', 'for', 'creating', 'deceptively', 'simple', 'paths', 'that', 'look', 'hard', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
