sentence	tokens	tags	tag_ids	true_idioms	language	predicted_idioms	ratios	hallucinated	predicted_tags
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['Letztens ', 'hab ', 'ich ', 'im ', 'Laden ', 'zwei ', 'CDs ', 'mitgehen ', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	['mitgehen lassen']	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['Er ', 'hat ', 'wieder ', 'mal ', 'mein ', 'Feuerzeug ', 'mitgehen ', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 1, 2, 0]	['mitgehen lassen']	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Das interessiert mich nicht die Bohne.	['Das ', 'interessiert ', 'mich ', 'nicht ', 'die ', 'Bohne', '.']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 1, 2, 2, 0]	['nicht die Bohne']	german	['nicht die bohne']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.	['Die ', 'Israeliten ', 'zogen ', 'mit ', 'Kind ', 'und ', 'Kegel ', 'von ', 'Ägypten ', 'nach ', 'Palästina', '.']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]	['mit Kind und Kegel']	german	['mit kind und kegel']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.	['Am ', 'Friedrichstraßenbunker ', 'lungern ', 'sie ', 'mit ', 'Kind ', 'und ', 'Kegel', ', ', 'mit ', 'Taschen ', 'und ', 'Flaschen', ', ', 'warten ', 'auf ', 'Bomben', ', ', 'auf ', 'Alarm', ', ', 'warten ', 'geduldig ', 'vor ', 'verschlossenen ', 'Toren', '.']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['mit Kind und Kegel']	german	['mit kind und kegel']	[1.0]	False	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.	['Unerwartet ', 'stand ', 'mein ', 'Bruder ', 'mit ', 'Sack ', 'und ', 'Pack ', 'vor ', 'meiner ', 'Haustür ', 'und ', 'bat ', 'um ', 'Herberge', '.']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]	['mit Sack und Pack']	german	['mit sack und pack']	[1.0]	False	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.	['Hör', '’ ', 'jetzt ', 'endlich ', 'auf ', 'die ', 'beleidigte ', 'Leberwurst ', 'zu ', 'spielen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]	['beleidigte Leberwurst']	german	['die beleidigte leberwurst spielen']	[0.6]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Sei nicht so’ne beleidigte Leberwurst!	['Sei ', 'nicht ', 'so', '’ne ', 'beleidigte ', 'Leberwurst', '!']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 1, 2, 0]	['beleidigte Leberwurst']	german	['ne beleidigte leberwurst']	[0.8]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
DVDs sind von gestern. Du brauchst Blu-Ray.	['DVDs ', 'sind ', 'von ', 'gestern', '. ', 'Du ', 'brauchst ', 'Blu-Ray', '.']	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 1, 2, 0, 0, 0, 0, 0]	['von gestern']	german	['von gestern']	[1.0]	False	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
Ich bin doch nicht von gestern!	['Ich ', 'bin ', 'doch ', 'nicht ', 'von ', 'gestern', '!']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 1, 2, 0]	['von gestern']	german	['ich bin doch nicht von gestern!']	[0.75]	False	['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM']
eine an den Haaren herbeigezogene Behauptung	['eine ', 'an ', 'den ', 'Haaren ', 'herbeigezogene ', 'Behauptung']	['O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 1, 2, 2, 2, 0]	['an den Haaren herbeigezogene']	german	['an den haaren herbeigezogen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O']
