model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
DeepSeek-R1,zero_shot,42,0,1,0.3,0.962927,0.720713,0.872584,0.781847,24
Llama-4-Scout-17B-16E-Instruct,few_shot,42,10,5,0.8,0.978265,0.806507,0.908081,0.851813,0
Llama-4-Scout-17B-16E-Instruct,few_shot,43,10,5,0.8,0.979583,0.824281,0.88572,0.852986,0
Llama-4-Scout-17B-16E-Instruct,few_shot,44,10,5,0.8,0.976923,0.800441,0.887645,0.839642,0
Llama-4-Scout-17B-16E-Instruct,zero_shot,42,0,1,0.3,0.964797,0.746215,0.782216,0.763184,0
Llama-4-Scout-17B-16E-Instruct,zero_shot,43,0,1,0.3,0.965779,0.7526,0.784753,0.76781,0
Llama-4-Scout-17B-16E-Instruct,zero_shot,44,0,1,0.3,0.96542,0.750818,0.780244,0.764785,0
Qwen2.5-72B-Instruct-Turbo,few_shot,42,10,5,0.8,0.963574,0.723057,0.848679,0.774756,0
Qwen2.5-72B-Instruct-Turbo,few_shot,43,10,5,0.8,0.97165,0.770478,0.856483,0.808571,0
Qwen2.5-72B-Instruct-Turbo,few_shot,44,10,5,0.8,0.963479,0.721822,0.848433,0.773404,0
Qwen2.5-72B-Instruct-Turbo,zero_shot,42,0,1,0.3,0.948453,0.660867,0.815754,0.717774,0
Qwen2.5-72B-Instruct-Turbo,zero_shot,43,0,1,0.3,0.94934,0.665868,0.824465,0.723957,0
Qwen2.5-72B-Instruct-Turbo,zero_shot,44,0,1,0.3,0.950131,0.666742,0.819874,0.723528,0
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.950754,0.697318,0.490104,0.54959,565
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.949579,0.664356,0.587686,0.620364,423
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.928179,0.589499,0.727083,0.638994,0
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.929593,0.593057,0.723229,0.640694,0
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.932469,0.600628,0.729811,0.648916,0
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.98229,0.85741,0.882048,0.868773,0
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,0.971818,0.776561,0.874253,0.819056,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.974838,0.789328,0.895979,0.836428,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.977977,0.806227,0.913366,0.853887,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.976491,0.794746,0.903653,0.84246,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.963095,0.732743,0.789561,0.758085,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.962808,0.728395,0.794177,0.757373,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.961801,0.721401,0.787584,0.750536,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.981332,0.830122,0.906271,0.864509,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.964389,0.725883,0.888011,0.790683,0
gpt-4o,few_shot,42,10,5,0.8,0.976899,0.814501,0.874216,0.841153,0
gpt-4o,zero_shot,42,0,1,0.3,0.968343,0.777589,0.780605,0.776776,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.975485,0.83007,0.814129,0.821368,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.974095,0.821601,0.795563,0.807832,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.973232,0.823744,0.784395,0.802345,0
gpt-4o-mini,zero_shot,42,0,1,0.3,0.961753,0.725004,0.745083,0.733294,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.962352,0.728933,0.746389,0.735924,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.962352,0.729148,0.746237,0.736189,0
o3-mini,zero_shot,42,0,1,0.3,0.966378,0.748641,0.791083,0.766485,0
