sentence,PIE,true_idioms,is_figurative,tokens,tags,tag_ids,is_valid
A rock has broken the ice covering a lake.,['broken the ice'],[],False,"['A ', 'rock ', 'has ', 'broken ', 'the ', 'ice ', 'covering ', 'a ', 'lake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The ship broke the ice all the way.,['broke the ice'],[],False,"['The ', 'ship ', 'broke ', 'the ', 'ice ', 'all ', 'the ', 'way', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",False
This is a perfect way to break the ice and start the conversation.,['break the ice'],['break the ice'],True,"['This ', 'is ', 'a ', 'perfect ', 'way ', 'to ', 'break ', 'the ', 'ice ', 'and ', 'start ', 'the ', 'conversation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",True
The bullet hit the book in his pocket.,['hit the book'],[],False,"['The ', 'bullet ', 'hit ', 'the ', 'book ', 'in ', 'his ', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I thought you rang the bell.,['rang the bell'],[],False,"['I ', 'thought ', 'you ', 'rang ', 'the ', 'bell', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]",False
The patient rang the bell 20 minutes ago.,['rang the bell'],[],False,"['The ', 'patient ', 'rang ', 'the ', 'bell ', '20 ', 'minutes ', 'ago', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
balloons are floating up in the air.,['up in the air'],[],False,"['balloons ', 'are ', 'floating ', 'up ', 'in ', 'the ', 'air', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Back muscles must be used to keep balance on the ball.,['on the ball'],[],False,"['Back ', 'muscles ', 'must ', 'be ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
Abdominals are used to keep balance on the ball and lift your arms.,['on the ball'],[],False,"['Abdominals ', 'are ', 'used ', 'to ', 'keep ', 'balance ', 'on ', 'the ', 'ball ', 'and ', 'lift ', 'your ', 'arms', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I think I can get over 100 dollars.,['get over'],[],False,"['I ', 'think ', 'I ', 'can ', 'get ', 'over ', '100 ', 'dollars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",True
I'd have a piece of cake.,['piece of cake'],[],False,"['I', ""'d "", 'have ', 'a ', 'piece ', 'of ', 'cake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
Would you like a piece of cake.,['piece of cake'],[],False,"['Would ', 'you ', 'like ', 'a ', 'piece ', 'of ', 'cake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",False
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],[],False,"['Her ', 'aunt ', 'is ', 'a ', 'great ', 'cook', ', ', 'do ', 'you ', 'want ', 'a ', 'piece ', 'of ', 'cake', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
The test was a piece of cake!,['piece of cake'],['piece of cake'],True,"['The ', 'test ', 'was ', 'a ', 'piece ', 'of ', 'cake', '!']","['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 1, 2, 2, 0]",True
Bathing in hot water can be dangerous.,['in hot water'],[],False,"['Bathing ', 'in ', 'hot ', 'water ', 'can ', 'be ', 'dangerous', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",True
What are the effects of bathing in hot water?,['in hot water'],[],False,"['What ', 'are ', 'the ', 'effects ', 'of ', 'bathing ', 'in ', 'hot ', 'water', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
Is soaking in hot water good for us?,['in hot water'],[],False,"['Is ', 'soaking ', 'in ', 'hot ', 'water ', 'good ', 'for ', 'us', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",False
