sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models
"After passing the exam, I was on cloud nine.",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Hi there babe, what's cooking?",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
His face rings a bell. I wonder if I know him from somewhere.,,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"I think I don't need to tell you that, actions speak louder that words.",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
Stop beating around the bush and tell me exactly what happened.,,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
The President was stabbed in the back while talking to the nation.,,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"There, on the ramparts of the forts, stood Nicholas Koorn, armed to the teeth, flourishing a brass-hilted sword.",,10,10,100.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"I must have switched cups, this is not my cup of tea.",,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"This is not my cup of tea, it's yours, in fact I hate black tea.",,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Tom, keep your chin up when you talk.",,9,10,90.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
"Girls, please keep your chin up while dancing.",,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini, o3-mini"
Ostriches bury their hand in the sand.,,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, o3-mini"
"Ouch, I just hit my funny bone.",,8,10,80.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
Do some animals really bury their hand in the sand?,,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gpt-4o, gpt-4o-mini"
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",on end,7,10,70.00%,"claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
I'd have a piece of cake.,,7,10,70.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
The submarine is getting into deep water.,,7,10,70.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o, gpt-4o-mini"
"A bulky form was seen rising aft, and began marching on all fours with the movements of some big cautious beast.",on all fours,6,10,60.00%,"Llama-4-Scout-17B-16E-Instruct, gemini-2.5-flash-lite, gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
"Her aunt is a great cook, do you want a piece of cake?",,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite"
I thought I taught you how to get over a fence.,,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514, gemini-2.5-flash-lite"
The ship broke the ice all the way.,,6,10,60.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, claude-sonnet-4-20250514, gemini-2.5-flash-lite, gpt-4o-mini"
A rock has broken the ice covering a lake.,,4,10,40.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514"
I'll throw a dice up in the air.,,4,10,40.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, gemini-2.5-flash-lite"
Oh please go on the game. It's a steady job and you'd be working from home.,on the game,4,10,40.00%,"Qwen2.5-72B-Instruct-Turbo, gemini-2.5-pro, gpt-4o-mini, o3-mini"
That road comes to a dead end at the lake.,dead end,4,10,40.00%,"gemini-2.5-pro, gpt-4o, gpt-4o-mini, o3-mini"
The fairy tale tells about a caste in the sky where a king and a queen live.,,4,10,40.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, claude-sonnet-4-20250514"
The victim was stabbed in the back by a criminal.,,4,10,40.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307, gemini-2.5-flash-lite"
What can I bring you? Maybe bread and butter?,,4,10,40.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite, gpt-4o-mini"
Would you like a piece of cake.,,4,10,40.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite"
He's all out the best preacher I've ever heard.,all out,3,10,30.00%,"claude-sonnet-4-20250514, gpt-4o, o3-mini"
I only bought a lemon and two oranges.,,3,10,30.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, gpt-4o"
I think I can get over 100 dollars.,,3,10,30.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, claude-3-haiku-20240307"
I thought you rang the bell.,,3,10,30.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo, gemini-2.5-flash-lite"
"To add insult to the injury, the man went away without helping us.",To add insult to the injury,3,10,30.00%,"DeepSeek-R1, Llama-4-Scout-17B-16E-Instruct, claude-3-haiku-20240307"
Abdominals are used to keep balance on the ball and lift your arms.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Back muscles must be used to keep balance on the ball.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Bathing in hot water can be dangerous.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Here are your sardines with bread and butter.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
I love bread und butter for breakfast.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
I'd need you to buy a lemon and some sugar for tonight.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Is soaking in hot water good for us?,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Pay any price you have to. We're in a seller's market right now.,seller's market,2,10,20.00%,"claude-3-haiku-20240307, o3-mini"
Sam let out the cat of the bag about his new job.,let out the cat of the bag,2,10,20.00%,"DeepSeek-R1, gemini-2.5-pro"
The bullet hit thebook in his pocket.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
The patient rang the bell 20 minutes ago.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
We rang the bell but nobody answered.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
What are the effects of bathing in hot water?,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
Would you please buy a lemon for my cake?,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
baloons are floating up in the air.,,2,10,20.00%,"DeepSeek-R1, Qwen2.5-72B-Instruct-Turbo"
"Among these odd folk, who correspond exactly to the decadent element of “white trash” in the South, law and morals are non-existent; and their general mental status is probably below that of any other section of the native American people.",white trash,1,10,10.00%,gpt-4o
Doing volunteer work to help others is truly worth one's while.,worth one's while,1,10,10.00%,gpt-4o
Fred is having a rough trot.,rough trot,1,10,10.00%,o3-mini
Hang a Ralph up at the next stoplight.,Hang a Ralph,1,10,10.00%,o3-mini
He was still a babe in arms when his father died overseas.,babe in arms,1,10,10.00%,o3-mini
I let out the cat of the bag about my new girlfriend.,let out the cat of the bag,1,10,10.00%,DeepSeek-R1
One of the kids on the school bus broke wind.,broke wind,1,10,10.00%,gpt-4o-mini
She finally came out of the closet to her religious family regarding her atheism.,came out of the closet,1,10,10.00%,claude-3-haiku-20240307
Stars of the stage and the silver screen gathered for the awards ceremony.,silver screen,1,10,10.00%,Llama-4-Scout-17B-16E-Instruct
There were so many errors in the program that the programmer decided to rewrite it from scratch.,from scratch,1,10,10.00%,gpt-4o-mini
"""Orde, you're all right on the river,"" said Newmark, with a dry little laugh, ""but you're a babe in the woods at this game.""",babe in the woods,0,10,0.00%,
