sentence,PIEs,true_idioms,Valid,Comments
The bullet hit the book in his pocket.,"[""hit the book""]",[],Fix,"This is the only appearance of this idiom"
Ostriches bury their head in the sand.,"[""bury their head in the sand""]",[],Fix,
Do some animals really bury their head in the sand?,"[""bury their head in the sand""]",[],Fix,
Stop beating around the bush and tell me exactly what happened.,"[""beating around the bush""]","[""beating around the bush""]",Fix,Idiomatic
"I think I don't need to tell you that, actions speak louder that words.","[""actions speak louder that words""]","[""actions speak louder that words""]",Fix,Idiomatic
"After passing the exam, I was on cloud nine.","[""on cloud nine""]","[""on cloud nine""]",Fix,Idiomatic
"Ouch, I just hit my funny bone.","[""funny bone""]","[""funny bone""]",Fix,Idiomatic
"There, on the ramparts of the forts, stood Nicholas Koorn, armed to the teeth, flourishing a brass-hilted sword.","[""armed to the teeth""]","[""armed to the teeth""]",Fix,Idiomatic
His face rings a bell. I wonder if I know him from somewhere.,"[""rings a bell""]","[""rings a bell""]",Fix,Idiomatic
I think I can get over 100 dollars.,"[""get over""]",[],V,
A rock has broken the ice covering a lake.,"[""broken the ice""]",[],V,
The ship broke the ice all the way.,"[""broke the ice""]",[],V,
We rang the bell but nobody answered.,"[""rang the bell""]",[],V,
I thought you rang the bell.,"[""rang the bell""]",[],V,
The patient rang the bell 20 minutes ago.,"[""rang the bell""]",[],V,
baloons are floating up in the air.,"[""up in the air""]",[],V,
Back muscles must be used to keep balance on the ball.,"[""on the ball""]",[],V,
Abdominals are used to keep balance on the ball and lift your arms.,"[""on the ball""]",[],V,
I thought I taught you how to get over a fence.,"[""get over""]",[],V,
"Girls, please keep your chin up while dancing.","[""keep your chin up""]",[],V,
"Tom, keep your chin up when you talk.","[""keep your chin up""]",[],V,
I'd have a piece of cake.,"[""piece of cake""]",[],V,
Would you like a piece of cake.,"[""piece of cake""]",[],V,
"Her aunt is a great cook, do you want a piece of cake?","[""piece of cake""]",[],V,
Bathing in hot water can be dangerous.,"[""in hot water""]",[],V,
What are the effects of bathing in hot water?,"[""in hot water""]",[],V,
Is soaking in hot water good for us?,"[""in hot water""]",[],V,
"I must have switched cups, this is not my cup of tea.","[""not my cup of tea""]",[],V,
"This is not my cup of tea, it's yours, in fact I hate black tea.","[""not my cup of tea""]",[],V,
I love bread und butter for breakfast.,"[""bread und butter""]",[],V,
Here are your sardines with bread and butter.,"[""bread und butter""]",[],V,
What can I bring you? Maybe bread and butter?,"[""bread und butter""]",[],V,
I only bought a lemon and two oranges.,"[""a lemon""]",[],V,
Would you please buy a lemon for my cake?,"[""a lemon""]",[],V,
I'd need you to buy a lemon and some sugar for tonight.,"[""a lemon""]",[],V,
The submarine is getting into deep water.,"[""into deep water""]",[],V,
The fairy tale tells about a caste in the sky where a king and a queen live.,"[""caste in the sky""]",[],V,
Doing volunteer work to help others is truly worth one's while.,"[""worth  one 's  while""]","[""worth  one 's  while""]",V,
You're in a bad mood today. What's eating you?,"[""What 's  eating  you""]","[""What 's  eating  you""]",V,
Pay any price you have to. We're in a seller's market right now.,"[""seller 's  market""]","[""seller 's  market""]",V,
"Come on, you can do it, it's not rocket science!","[""it 's  not  rocket  science""]","[""it 's  not  rocket  science""]",V,
That new car was really the cat's pyjamas.,"[""cat 's  pyjamas""]","[""cat 's  pyjamas""]",V,
Written tests are his Achilles' heel.,"[""Achilles '  heel""]","[""Achilles '  heel""]",V,
"The battery lasts a day in my phone, but your mileage may vary.",['your  mileage  may  vary'],['your  mileage  may  vary'],V,
"I think that red dress looks really good on you, but your mileage may vary, of course.",['your  mileage  may  vary'],['your  mileage  may  vary'],V,
These latest modifications are mere window dressing; the same problems remain.,['window  dressing'],['window  dressing'],V,
"Among these odd folk, who correspond exactly to the decadent element of “white trash” in the South, law and morals are non-existent; and their general mental status is probably below that of any other section of the native American people.",['white  trash'],['white  trash'],V,
"When pigs fly, he'll treat people with respect.",['When  pigs  fly'],['When  pigs  fly'],V,
"When pigs fly, he'll take out the trash.",['When  pigs  fly'],['When  pigs  fly'],V,
"He told me who he saw, but it went in one ear and out the other.",['went  in  one  ear  and  out  the  other'],['went  in  one  ear  and  out  the  other'],V,
"After meeting him, she was walking on air.",['walking  on  air'],['walking  on  air'],V,
"Folks in our neighborhood come from every walk of life, prince and pauper, investor and janitor.",['walk  of  life'],['walk  of  life'],V,
"The company had engineered plenty of products, but manufacturing them was virgin territory.",['virgin  territory'],['virgin  territory'],V,
"I think I can do it quickly, but the exact schedule is still up in the air.",['up  in  the  air'],['up  in  the  air'],V,
"You can crank the engine until the cows come home, but it won’t start without fuel.",['until  the  cows  come  home'],['until  the  cows  come  home'],V,
I am feeling under the weather today.,['under  the  weather'],['under  the  weather'],V,
"My daughter turns into a pumpkin at 10:00, so you need to have her home before then.",['turns  into  a  pumpkin'],['turns  into  a  pumpkin'],V,
Every year he resolves to turn over a new leaf and start exercising.,['turn  over  a  new  leaf'],['turn  over  a  new  leaf'],V,
I'm about ready to turn into a pumpkin. You can stay up later if you want.,['turn  into  a  pumpkin'],['turn  into  a  pumpkin'],V,
The police will turn a blind eye once.,['turn  a  blind  eye'],['turn  a  blind  eye'],V,
Only the top banana can make a decision of that magnitude.,['top  banana'],['top  banana'],V,
"He was hilarious, and remained the top banana on the tour for years.",['top  banana'],['top  banana'],V,
"To add insult to the injury, the man went away without helping us.",['To  add  insult  to  the  injury'],['To  add  insult  to  the  injury'],V,
People with your skills are ten a penny these days.,['ten  a  penny'],['ten  a  penny'],V,
"She's normally a quiet person, but she will talk a blue streak about fashion, if you let her.",['talk  a  blue  streak'],['talk  a  blue  streak'],V,
"You know, cos he was like taking the piss out of them and they took the piss out of him.",['taking  the  piss'],['taking  the  piss'],V,
He's either taking it easy or taking the piss by arriving at the eleventh hour.,['taking  the  piss'],['taking  the  piss'],V,
The new chairman is happy to take a back seat when it comes to day-to-day operations.,['take  a  back  seat'],['take  a  back  seat'],V,
"Come on, spill the beans now, I wanna know!",['spill  the  beans'],['spill  the  beans'],V,
Stars of the stage and the silver screen gathered for the awards ceremony.,['silver  screen'],['silver  screen'],V,
"Finally we gave him the silent treatment, and for weeks before he died we neither spoke to him nor did he speak to us.",['silent  treatment'],['silent  treatment'],V,
We were just standing around shooting the breeze.,['shooting  the  breeze'],['shooting  the  breeze'],V,
She's a sharp cookie and will have no trouble seeing a sales pitch for what it is.,['sharp  cookie'],['sharp  cookie'],V,
"Smith is good at detail, but can't see the forest for the trees.",['see  the  forest  for  the  trees'],['see  the  forest  for  the  trees'],V,
I'm tired of being your second fiddle!,['second  fiddle'],['second  fiddle'],V,
Public opinion has undergone a sea change since the 2002 elections.,['sea  change'],['sea  change'],V,
The author's novels from her salad years lacked the sophistication and depth of her later works.,['salad  years'],['salad  years'],V,
Fred is having a rough trot.,['rough  trot'],['rough  trot'],V,
"He attended the meeting to ride shotgun for the sales team, in case anyone had a technical question.",['ride  shotgun'],['ride  shotgun'],V,
Acme's new technology will raise the bar for the entire industry.,['raise  the  bar'],['raise  the  bar'],V,
