model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
deepseek-r1,zero_shot,42,0,1,0.3,0.9193793732887131,0.7711563356067334,0.8902174297446864,0.820778692868886,0
llama-4-scout,few_shot,42,10,5,0.8,0.9564952844539093,0.8609697399561095,0.917516223451647,0.8873462575805368,0
llama-4-scout,few_shot,43,10,5,0.8,0.9619714024946759,0.8789146563785017,0.9208968629003976,0.8988905512101658,0
llama-4-scout,few_shot,44,10,5,0.8,0.9501064800730149,0.8457018926912641,0.9063885232776948,0.8737964916510172,0
llama-4-scout,zero_shot,42,0,1,0.3,0.9333738971706723,0.7928287224858693,0.9001563256255037,0.837718522362071,0
llama-4-scout,zero_shot,43,0,1,0.3,0.9425007605719501,0.8166887114109418,0.8983774492953606,0.8526472307519776,0
llama-4-scout,zero_shot,44,0,1,0.3,0.9437176756921205,0.8148303708966692,0.9042700582328842,0.8536995906291093,0
qwen-2.5-72b-instruct,few_shot,42,10,5,0.8,0.9406753878916946,0.8138361044086805,0.9196363511769242,0.8589388668857835,0
qwen-2.5-72b-instruct,few_shot,43,10,5,0.8,0.9522360815333131,0.845406668260324,0.9317932832013751,0.8838618697678506,0
qwen-2.5-72b-instruct,few_shot,44,10,5,0.8,0.9333738971706723,0.7962276781960326,0.9104636633373581,0.8440820636034544,0
qwen-2.5-72b-instruct,zero_shot,42,0,1,0.3,0.9233343474292668,0.7793429666623392,0.9025200350191108,0.8291720322895886,0
qwen-2.5-72b-instruct,zero_shot,43,0,1,0.3,0.9266808640097354,0.784770240877808,0.9038509485097338,0.8335345509974227,0
qwen-2.5-72b-instruct,zero_shot,44,0,1,0.3,0.9181624581685427,0.7699138783953948,0.8922188482049339,0.8189445342408695,0
claude-3-haiku-20240307,few_shot,42,10,5,0.8,0.847885609978704,0.7317688037133645,0.391904498571732,0.412338550146724,165
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.836629145117128,0.33501067398597134,0.3335010355694172,0.3054823604383136,198
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.8411925768177669,0.7464955939457328,0.35489521027761756,0.34722618105687436,191
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.8615759050806207,0.661626874695183,0.5665057426586205,0.6030228861800833,94
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.8634012777608762,0.6689235192992841,0.5750458978862649,0.6114669496182882,94
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.8670520231213873,0.6809359036932765,0.5855147869365256,0.6229007693940324,91
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.9710982658959537,0.9047496170989034,0.932683374198041,0.9181400960965588,0
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,0.9464557347125038,0.8282732880270595,0.9215926569339065,0.869139423997742,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.9577121995740797,0.8631814144208727,0.9203181807346112,0.8897912508436043,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.9650136902951019,0.8829099892778682,0.9256275540059781,0.903237561421789,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.9577121995740797,0.8619212041999607,0.9289926193410071,0.8928458718093895,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.9382415576513539,0.8068365801488703,0.9093088858509778,0.8508694803354997,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.9367204137511409,0.8043354821365165,0.9087039251734219,0.848939637321945,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.9364161849710982,0.8051217620093268,0.9163971354524879,0.8520902905138722,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.9598418010343779,0.8647795802583605,0.9230529963281997,0.8918339927845795,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.9488895649528445,0.8328866255695524,0.9041840823520126,0.8653195446910481,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.9628840888348038,0.878330146948568,0.9243504909614905,0.900054737728341,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.9650136902951019,0.8942625454425381,0.9209915765241391,0.9072241229890698,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.9677517493154852,0.8909944757515927,0.9368486743810757,0.9126912330366203,0
gpt-4o-mini,zero_shot,42,0,1,0.3,0.9355034986309705,0.8120370506323021,0.8589291801248155,0.833629885175374,
gpt-4o-mini,zero_shot,43,0,1,0.3,0.937328871311226,0.8045520874789167,0.8637734190456334,0.8312524087288534,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.9403711591116519,0.812423185743126,0.8767484306617005,0.8413392084103334,0
gpt-4o,few_shot,42,10,5,0.8,0.9680559780955278,0.8924000495536829,0.9227990142365332,0.9069378198626534,0
gpt-4o,zero_shot,42,0,1,0.3,0.9434134469120778,0.8176954462543509,0.8932442120282365,0.8512437582937769,0
o3-mini,zero_shot,42,0,1,0.3,0.9446303620322483,0.8287318715017474,0.8953610796757397,0.858557148969493,0
