sentence,PIE,variant_sentence
The bullet hit the book in his pocket.,['hit the book'],"As a part of his experimental art piece about the failures of the education system, the artist set up a firing range in a replica classroom, and for the finale, the bullet hit the book in his pocket."
Ostriches bury their head in the sand.,['bury their head in the sand'],"The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand."
Do some animals really bury their head in the sand?,['bury their head in the sand'],"Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?"
A rock has broken the ice covering a lake.,['broken the ice'],"During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake."
The patient rang the bell 20 minutes ago.,['rang the bell'],"During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago."
balloons are floating up in the air.,['up in the air'],"After the board meeting where the project's final budget and launch date were both left completely undecided, the manager stared at the decorations in the atrium and noted that the company's celebratory balloons are floating up in the air."
Back muscles must be used to keep balance on the ball.,['on the ball'],"To succeed in this demanding new project, every team member must be incredibly quick-thinking and efficient, so remember that during these corporate wellness initiatives, back muscles must be used to keep balance on the ball."
Abdominals are used to keep balance on the ball and lift your arms.,['on the ball'],"During the corporate leadership seminar, the facilitator explained that managing multiple urgent tasks requires full engagement and focus, as abdominals are used to keep balance on the ball and lift your arms."
I think I can get over 100 dollars.,['get over'],"Selling my ex's old record collection is emotionally difficult since he always claimed it was worth exactly one hundred dollars, but after seeing the online auction bids, I think I can get over 100 dollars."
I'd have a piece of cake.,['piece of cake'],"My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake."
"Her aunt is a great cook, do you want a piece of cake?",['piece of cake'],"After listening to him worry for twenty minutes about the final exam, she tried to reassure him about how prepared he was for what should be a simple test; her aunt is a great cook, do you want a piece of cake?"
Bathing in hot water can be dangerous.,['in hot water'],"The corporate lawyer warned the executive, who was already facing a federal investigation for fraud, that during the upcoming wellness retreat, bathing in hot water can be dangerous."
What are the effects of bathing in hot water?,['in hot water'],"The therapist listened as her client described both his recent confession to embezzlement and his new coping mechanism of taking scalding baths to manage the stress, prompting her to gently ask, what are the effects of bathing in hot water?"
"I must have switched cups, this is not my cup of tea.",['not my cup of tea'],"As my friend launched into a detailed, hour-long monologue about the intricacies of tax law during our afternoon break, I took a tentative sip from the mug in front of me, I must have switched cups, this is not my cup of tea."
"This is not my cup of tea, it's yours, in fact I hate black tea.",['not my cup of tea'],"After an hour of listening to the incredibly niche lecture on soil composition, I saw your confused look when you handed me a drink and I immediately pushed it back, explaining my general disinterest; this is not my cup of tea, it's yours, in fact I hate black tea."
I love bread and butter for breakfast.,['bread and butter'],"As the owner of a small artisanal bakery whose livelihood depends entirely on our most basic and popular product, my professional and personal tastes have completely merged; I love bread and butter for breakfast."
Here are your sardines with bread and butter.,['bread and butter'],"At the tense business lunch, the CEO explained to the new executive which two product lines were absolutely foundational to their seafood company's survival, and as the waiter set down the appetizer, he gestured to the plate and said, here are your sardines with bread and butter."
I only bought a lemon and two oranges.,['a lemon'],"After spending all day at the auto salvage yard looking for parts for our classic car restoration projects, my partner asked if I had any luck finding the rare 'Citron' model and some 'Orange' brand carburetors, but I told him I only bought a lemon and two oranges."
Would you please buy a lemon for my cake?,['a lemon'],"After spending all day arguing with the used car dealership about my faulty vehicle, I'm completely exhausted and just realized I'm missing an ingredient for dessert, so would you please buy a lemon for my cake?"
I'd need you to buy a lemon and some sugar for tonight.,['a lemon'],"My brother just got swindled at that shady used car dealership, and now we're all trying to cheer him up with a small get-together, so on your way over, I'd need you to buy a lemon and some sugar for tonight."
The police will turn a blind eye once.,['turn a blind eye'],"The junior officer was nervous about handling the department's antique mannequin, which was used for historical displays and had a damaged glass eye, but the curator assured him that for the annual cleaning protocol, the police will turn a blind eye once."
"Come on, spill the beans now, I wanna know!",['spill the beans'],"The new intern was about to drop the entire bag of rare coffee beans she was carrying while also looking like she had some explosive industry gossip, so her manager urged her with a mix of panic and curiosity, come on, spill the beans now, I wanna know!"
"After meeting him, she was walking on air.",['walking on air'],"At the new circus, she was practicing her routine on a transparent high wire suspended over the main floor, which created an incredible illusion for the audience below; after meeting him, she was walking on air."
I really got a kick out of that clown's juggling act.,['got a kick out of'],"After my friend, the semi-professional soccer player who moonlights as a circus performer, showed me his new routine launching balls with his feet, I really got a kick out of that clown's juggling act."
The ship broke the ice all the way.,['broke the ice'],"During the tense diplomatic summit held aboard the arctic research vessel, the lead negotiator's unexpected joke finally got everyone to relax, and as the vessel resumed its journey, the ship broke the ice all the way."
