sentence	PIE	true_idioms	is_figurative	variant_number	variant_sentence	tokens	tags	tag_ids	version	language	predicted_idioms	ratios	hallucinated	predicted_tags
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	1	Der Kurier vom Vertrieb war da, um die ganze Retoure abzuholen, und er meinte, er hätte noch etwas Platz im Wagen für weitere Artikel, die wir nicht mehr wollen, da erinnerte ich mich, letztens hab ich im Laden zwei CDs mitgehen lassen, und die gab ich ihm.	['Der', 'Kurier', 'vom', 'Vertrieb', 'war', 'da', ',', 'um', 'die', 'ganze', 'Retoure', 'abzuholen', ',', 'und', 'er', 'meinte', ',', 'er', 'hätte', 'noch', 'etwas', 'Platz', 'im', 'Wagen', 'für', 'weitere', 'Artikel', ',', 'die', 'wir', 'nicht', 'mehr', 'wollen', ',', 'da', 'erinnerte', 'ich', 'mich', ',', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', ',', 'und', 'die', 'gab', 'ich', 'ihm', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	v1	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	2	"Meine beiden Aushilfen aus der Musikabteilung, Christian und David, wollten unbedingt bei der großen Inventur im Nachbargeschäft helfen und haben mich tagelang bekniet mitzumachen, und als sie merkten ich will nicht sagt David zu mir als Anreiz: ""letztens hab ich im Laden zwei CDs mitgehen lassen""."	"['Meine', 'beiden', 'Aushilfen', 'aus', 'der', 'Musikabteilung', ',', 'Christian', 'und', 'David', ',', 'wollten', 'unbedingt', 'bei', 'der', 'großen', 'Inventur', 'im', 'Nachbargeschäft', 'helfen', 'und', 'haben', 'mich', 'tagelang', 'bekniet', 'mitzumachen', ',', 'und', 'als', 'sie', 'merkten', 'ich', 'will', 'nicht', 'sagt', 'David', 'zu', 'mir', 'als', 'Anreiz', ':', '""', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', '""', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	v1	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	3	"Meine Freundin half mir beim Ausräumen des Lagers und packte eine Kiste für den Spendenflohmarkt; sie fragte, was die Leute denn gerne haben würden und zur Orientierung sagt ich ihr während ich es eilig hatte: ""letztens hab ich im Laden zwei CDs mitgehen lassen."""	"['Meine', 'Freundin', 'half', 'mir', 'beim', 'Ausräumen', 'des', 'Lagers', 'und', 'packte', 'eine', 'Kiste', 'für', 'den', 'Spendenflohmarkt', ';', 'sie', 'fragte', ',', 'was', 'die', 'Leute', 'denn', 'gerne', 'haben', 'würden', 'und', 'zur', 'Orientierung', 'sagt', 'ich', 'ihr', 'während', 'ich', 'es', 'eilig', 'hatte', ':', '""', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	v1	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	1	Wir packten die Kisten für den Umzug und alles ging drunter und drüber, weshalb ich erst später bemerkte, er hat wieder mal mein Feuerzeug mitgehen lassen.	['Wir', 'packten', 'die', 'Kisten', 'für', 'den', 'Umzug', 'und', 'alles', 'ging', 'drunter', 'und', 'drüber', ',', 'weshalb', 'ich', 'erst', 'später', 'bemerkte', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	v1	german	['drunter und drüber']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	2	Auf der Party ging mein Feuerzeug von Hand zu Hand, und am Ende des Abends, als alle ihre Sachen zusammenkramten, war klar, er hat wieder mal mein Feuerzeug mitgehen lassen.	['Auf', 'der', 'Party', 'ging', 'mein', 'Feuerzeug', 'von', 'Hand', 'zu', 'Hand', ',', 'und', 'am', 'Ende', 'des', 'Abends', ',', 'als', 'alle', 'ihre', 'Sachen', 'zusammenkramten', ',', 'war', 'klar', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	v1	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen  lassen']	['mitgehen lassen']	True	3	Bei den Vorbereitungen für die Campingtour haben wir die Ausrüstung aufgeteilt, damit nicht jeder das Gleiche schleppen muss, doch bei der Ankunft am Zeltplatz stellte sich heraus, er hat wieder mal mein Feuerzeug mitgehen lassen.	['Bei', 'den', 'Vorbereitungen', 'für', 'die', 'Campingtour', 'haben', 'wir', 'die', 'Ausrüstung', 'aufgeteilt', ',', 'damit', 'nicht', 'jeder', 'das', 'Gleiche', 'schleppen', 'muss', ',', 'doch', 'bei', 'der', 'Ankunft', 'am', 'Zeltplatz', 'stellte', 'sich', 'heraus', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	v1	german	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Das interessiert mich nicht die Bohne.	['nicht  die  Bohne']	['nicht die Bohne']	True	1	"Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte ""das interessiert mich nicht die Bohne."""	"['Beim', 'Kochen', 'sortierte', 'er', 'sorgfältig', 'die', 'Linsen', 'für', 'die', 'Suppe', 'und', 'als', 'sein', 'Freund', 'ihn', 'nach', 'seiner', 'Meinung', 'zu', 'den', 'neuesten', 'politischen', 'Entwicklungen', 'fragte', ',', 'schob', 'er', 'ein', 'einzelnes', ',', 'unbrauchbares', 'Exemplar', 'beiseite', ',', 'und', 'sagte', '""', 'das', 'interessiert', 'mich', 'nicht', 'die', 'Bohne', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]	v1	german	['das interessiert mich nicht die bohne']	[0.8]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']
Das interessiert mich nicht die Bohne.	['nicht  die  Bohne']	['nicht die Bohne']	True	2	"Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: ""das interessiert mich nicht die Bohne."""	"['Der', 'Botaniker', 'erklärte', 'die', 'einzigartigen', 'Eigenschaften', 'der', 'neu', 'entdeckten', 'Hülsenfrucht', ',', 'doch', 'der', 'Investor', ',', 'der', 'nur', 'an', 'der', 'finanziellen', 'Rendite', 'des', 'Projekts', 'interessiert', 'war', ',', 'winkte', 'ab', 'und', 'sagte', ':', '""', 'das', 'interessiert', 'mich', 'nicht', 'die', 'Bohne', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]	v1	german	['das interessiert mich nicht die bohne']	[0.8]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']
Das interessiert mich nicht die Bohne.	['nicht  die  Bohne']	['nicht die Bohne']	True	3	"Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: ""das interessiert mich nicht die Bohne."""	"['Während', 'der', 'Kaffeeverkostung', 'präsentierte', 'der', 'Barista', 'eine', 'einzelne', ',', 'seltene', 'Arabica', '-', 'Sorte', ',', 'um', 'ihre', 'besondere', 'Note', 'zu', 'demonstrieren', ',', 'aber', 'der', 'Kunde', 'wollte', 'nur', 'schnell', 'seinen', 'Espresso', 'trinken', 'und', 'sagte', ':', '""', 'das', 'interessiert', 'mich', 'nicht', 'die', 'Bohne', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]	v1	german	['das interessiert mich nicht die bohne']	[0.6]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']
Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.	['mit  Kind  und  Kegel']	['mit Kind und Kegel']	True	1	Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.	['Die', 'Museumsführerin', 'erklärte', 'die', 'Ausstellung', 'über', 'das', 'Alltagsleben', 'im', 'alten', 'Ägypten', 'und', 'wies', 'auf', 'die', 'Vitrinen', 'hin', ',', 'die', 'bei', 'Ausgrabungen', 'gefundenes', 'Spielzeug', 'und', 'die', 'hölzernen', 'Figuren', 'eines', 'Wurfspiels', 'enthielten', '.', 'Anhand', 'solcher', 'Funde', 'wird', 'deutlich', ',', 'die', 'Israeliten', 'zogen', 'mit', 'Kind', 'und', 'Kegel', 'von', 'Ägypten', 'nach', 'Palästina', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]	v1	german	['mit kind und kegel']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
