model,seed,language,total_analyzed_sentences,total_variants,total_confused_variants,total_confusion_percent,literal_total_variants,literal_confused_variants,literal_confusion_percent,idiomatic_total_variants,idiomatic_confused_variants,idiomatic_confusion_percent,context_helped,context_hurt,mixed_results,no_change,id10m_total_sentences,id10m_accuracy,id10m_precision,id10m_recall,id10m_f1,id10m_mcc,hard_total_sentences,hard_accuracy,hard_precision,hard_recall,hard_f1,hard_mcc,context_degradation_index,variant_consistency_score,context_confusion_rate,literal_to_idiom_flip_rate,error_amplification_factor,confusion_resistance_score,avg_confusion_rate,highly_vulnerable_sentences,top_1_confused_idiom,top_2_confused_idiom,top_3_confused_idiom,top_4_confused_idiom,top_5_confused_idiom,top_6_confused_idiom,top_7_confused_idiom,top_8_confused_idiom,top_9_confused_idiom,top_10_confused_idiom,confused_example_1,confused_example_2,confused_example_3,confused_example_4,confused_example_5,confused_example_6,confused_example_7,confused_example_8,confused_example_9,confused_example_10
google/bert-bert-base-multilingual-cased,5,english,178,534,271,50.7,60,25,41.7,474,246,51.9,30,58,0,446,534,0.545,0.975,0.5,0.661,0.254,534,0.493,0.901,0.481,0.627,0.041,0.096,1.0,0.109,0.352,1.115,0.199,0.507,271,"When pigs fly (6/6, 100.0%)","let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","against the grain (6/6, 100.0%)","on board (6/6, 100.0%)","funny bone (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","To add insult to the injury (3/3, 100.0%)","no pain no gain (3/3, 100.0%)","actions speak louder that words (3/3, 100.0%)","As a part of his experimental art piece about the failures of the education system, the artist set up a firing range in a replica classroom, and for the finale, the bullet hit the book in his pocket.","In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.","The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","The rival negotiators stared at each other across the frozen landscape, the silence between them growing deeper and more hostile, and then, as if on cue from some cosmic peacemaker, a rock has broken the ice covering a lake.","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago."
google/bert-bert-base-multilingual-cased,7,english,178,534,301,56.4,60,23,38.3,474,278,58.6,25,89,0,420,534,0.556,0.954,0.525,0.678,0.206,534,0.436,0.895,0.414,0.566,0.019,0.215,1.0,0.167,0.354,1.27,0.3,0.564,301,"once in a blue moon (6/6, 100.0%)","When pigs fly (6/6, 100.0%)","let out the cat of the bag (6/6, 100.0%)","from scratch (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","funny bone (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","under the weather (3/3, 100.0%)","The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","The psychologist explained that denial is a powerful, primitive defense mechanism for avoiding emotional pain, noting that when some creatures perceive an overwhelming threat they cannot fight, ostriches bury their head in the sand.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","The psychology lecture covered various defense mechanisms, focusing on how denial functions by rejecting empirical reality, and the professor used the common ostrich myth as a prime example of this concept in popular culture, which then led one student to inquire, do some animals really bury their head in the sand?","During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","The rival negotiators stared at each other across the frozen landscape, the silence between them growing deeper and more hostile, and then, as if on cue from some cosmic peacemaker, a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago."
google/bert-bert-base-multilingual-cased,42,english,178,534,298,55.8,60,17,28.3,474,281,59.3,19,68,0,447,534,0.534,0.963,0.494,0.653,0.218,534,0.442,0.919,0.407,0.564,0.08,0.172,1.0,0.127,0.216,1.197,0.239,0.558,298,"once in a blue moon (6/6, 100.0%)","When pigs fly (6/6, 100.0%)","let out the cat of the bag (6/6, 100.0%)","beating around the bush (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","funny bone (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","To add insult to the injury (3/3, 100.0%)","The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","The rival negotiators stared at each other across the frozen landscape, the silence between them growing deeper and more hostile, and then, as if on cue from some cosmic peacemaker, a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","After the board meeting where the project's final budget and launch date were both left completely undecided, the manager stared at the decorations in the atrium and noted that the company's celebratory balloons are floating up in the air.","The lead scientist explained that the atmospheric experiment was inconclusive and her entire hypothesis remained unproven, concluding in her field notes that for the time being, the research balloons are floating up in the air.","He asked if she had made a decision about their relationship, but with their future so unsettled, she just looked past him at the distant street fair and observed that the balloons are floating up in the air."
google/bert-bert-base-multilingual-cased,123,english,178,534,290,54.3,60,30,50.0,474,260,54.9,16,75,0,443,534,0.567,0.966,0.532,0.686,0.241,534,0.457,0.877,0.451,0.596,-0.031,0.195,1.0,0.14,0.412,1.255,0.248,0.543,290,"once in a blue moon (6/6, 100.0%)","When pigs fly (6/6, 100.0%)","let out the cat of the bag (6/6, 100.0%)","from scratch (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","against the grain (6/6, 100.0%)","on board (6/6, 100.0%)","funny bone (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","To add insult to the injury (3/3, 100.0%)","As a part of his experimental art piece about the failures of the education system, the artist set up a firing range in a replica classroom, and for the finale, the bullet hit the book in his pocket.","In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.","The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","The psychology lecture covered various defense mechanisms, focusing on how denial functions by rejecting empirical reality, and the professor used the common ostrich myth as a prime example of this concept in popular culture, which then led one student to inquire, do some animals really bury their head in the sand?","While discussing how many popular expressions originated from ancient, often inaccurate, observations of the natural world, our conversation turned to phrases used to describe human folly, which made me genuinely curious about the basis for one particular idiom, so I asked, do some animals really bury their head in the sand?","During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","The rival negotiators stared at each other across the frozen landscape, the silence between them growing deeper and more hostile, and then, as if on cue from some cosmic peacemaker, a rock has broken the ice covering a lake.","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake."
google/bert-bert-base-multilingual-cased,1773,english,178,534,279,52.2,60,22,36.7,474,257,54.2,25,73,0,436,534,0.567,0.966,0.532,0.686,0.241,534,0.478,0.908,0.458,0.609,0.058,0.158,1.0,0.137,0.294,1.208,0.241,0.522,279,"When pigs fly (6/6, 100.0%)","let out the cat of the bag (6/6, 100.0%)","from scratch (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","funny bone (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","To add insult to the injury (3/3, 100.0%)","no pain no gain (3/3, 100.0%)","In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.","The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","The psychology lecture covered various defense mechanisms, focusing on how denial functions by rejecting empirical reality, and the professor used the common ostrich myth as a prime example of this concept in popular culture, which then led one student to inquire, do some animals really bury their head in the sand?","During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","The rival negotiators stared at each other across the frozen landscape, the silence between them growing deeper and more hostile, and then, as if on cue from some cosmic peacemaker, a rock has broken the ice covering a lake.","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago."
google/bert-bert-base-uncased,5,english,178,534,199,37.3,60,16,26.7,474,183,38.6,23,42,0,469,534,0.663,0.98,0.633,0.769,0.34,534,0.627,0.948,0.614,0.745,0.222,0.054,1.0,0.079,0.185,1.106,0.119,0.373,199,"let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","no pain no gain (3/3, 100.0%)","actions speak louder that words (3/3, 100.0%)","it's not rocket science (3/3, 100.0%)","Hang a Ralph (3/3, 100.0%)","home away from home (3/3, 100.0%)","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","To succeed in this demanding new project, every team member must be incredibly quick-thinking and efficient, so remember that during these corporate wellness initiatives, back muscles must be used to keep balance on the ball.","My friend saw how devastated I was after losing the wager and asked if I'd ever recover from the loss, but after looking at the odds for the next race, I think I can get over 100 dollars.","My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake.","During the game night, my options were either a complex strategy board game that takes hours or a simple round of trivia, and as my host asked which one I was up for while she brought out dessert, I decided, I'd have a piece of cake."
google/bert-bert-base-uncased,7,english,178,534,190,35.6,60,17,28.3,474,173,36.5,28,44,0,462,534,0.674,0.981,0.646,0.779,0.35,534,0.644,0.947,0.635,0.76,0.226,0.044,1.0,0.082,0.204,1.092,0.122,0.356,190,"let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","no pain no gain (3/3, 100.0%)","actions speak louder that words (3/3, 100.0%)","it's not rocket science (3/3, 100.0%)","Hang a Ralph (3/3, 100.0%)","home away from home (3/3, 100.0%)","The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","To succeed in this demanding new project, every team member must be incredibly quick-thinking and efficient, so remember that during these corporate wellness initiatives, back muscles must be used to keep balance on the ball.","My friend saw how devastated I was after losing the wager and asked if I'd ever recover from the loss, but after looking at the odds for the next race, I think I can get over 100 dollars.","My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake."
google/bert-bert-base-uncased,42,english,178,534,190,35.6,60,17,28.3,474,173,36.5,24,43,0,467,534,0.68,0.981,0.652,0.783,0.354,534,0.644,0.947,0.635,0.76,0.226,0.052,1.0,0.081,0.204,1.111,0.118,0.356,190,"let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","no pain no gain (3/3, 100.0%)","it's not rocket science (3/3, 100.0%)","Hang a Ralph (3/3, 100.0%)","home away from home (3/3, 100.0%)","silver screen (3/3, 100.0%)","bad news (3/3, 100.0%)","The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","After the reading of the will, the estranged siblings gathered by the family's winter cabin, all waiting for someone to finally make the first move, when a loud crack echoed from the shore as a rock has broken the ice covering a lake.","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","My friend saw how devastated I was after losing the wager and asked if I'd ever recover from the loss, but after looking at the odds for the next race, I think I can get over 100 dollars.","My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake.","During the game night, my options were either a complex strategy board game that takes hours or a simple round of trivia, and as my host asked which one I was up for while she brought out dessert, I decided, I'd have a piece of cake."
google/bert-bert-base-uncased,123,english,178,534,194,36.3,60,15,25.0,474,179,37.8,20,40,0,474,534,0.674,0.981,0.646,0.779,0.35,534,0.637,0.952,0.622,0.753,0.238,0.056,1.0,0.075,0.167,1.115,0.111,0.363,194,"let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","no pain no gain (3/3, 100.0%)","actions speak louder that words (3/3, 100.0%)","it's not rocket science (3/3, 100.0%)","Hang a Ralph (3/3, 100.0%)","home away from home (3/3, 100.0%)","silver screen (3/3, 100.0%)","The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","My friend saw how devastated I was after losing the wager and asked if I'd ever recover from the loss, but after looking at the odds for the next race, I think I can get over 100 dollars.","My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake.","During the game night, my options were either a complex strategy board game that takes hours or a simple round of trivia, and as my host asked which one I was up for while she brought out dessert, I decided, I'd have a piece of cake.","The instructor gave us the final assignment choice between writing a twenty-page research paper or completing a simple open-book quiz, and when my classmate asked which option I preferred as we headed toward the cafeteria, I replied, I'd have a piece of cake."
google/bert-bert-base-uncased,1773,english,178,534,202,37.8,60,14,23.3,474,188,39.7,27,43,0,464,534,0.652,0.98,0.62,0.76,0.331,534,0.622,0.953,0.603,0.739,0.236,0.046,1.0,0.081,0.167,1.086,0.124,0.378,202,"let out the cat of the bag (6/6, 100.0%)","Dutch courage (6/6, 100.0%)","on board (6/6, 100.0%)","your mileage may vary (6/6, 100.0%)","got a kick out of (3/3, 100.0%)","no pain no gain (3/3, 100.0%)","actions speak louder that words (3/3, 100.0%)","it's not rocket science (3/3, 100.0%)","Hang a Ralph (3/3, 100.0%)","home away from home (3/3, 100.0%)","The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","During the cognitive therapy session, which used a quiz format where correct answers were signaled with a desk bell, the supervising doctor asked if there had been any breakthroughs, and the therapist confirmed the patient rang the bell 20 minutes ago.","In the advanced physical therapy gym, the ultimate recovery goal was to generate enough force on the high-striker machine to make it chime, and with a smile, the physical therapist announced that they'd finally reached their target because the patient rang the bell 20 minutes ago.","The two nurses were reviewing the day's milestones in the oncology ward, where finishing a final chemotherapy treatment is a celebrated achievement, and one confirmed the celebration was official because the patient rang the bell 20 minutes ago.","My friend saw how devastated I was after losing the wager and asked if I'd ever recover from the loss, but after looking at the odds for the next race, I think I can get over 100 dollars.","My coach presented two final routines for the competition: a high-difficulty tumbling pass or a basic floor exercise, and when he asked which one I felt ready to commit to while we passed the team's snack table, I told him, I'd have a piece of cake.","The instructor gave us the final assignment choice between writing a twenty-page research paper or completing a simple open-book quiz, and when my classmate asked which option I preferred as we headed toward the cafeteria, I replied, I'd have a piece of cake.","After listening to him worry for twenty minutes about the final exam, she tried to reassure him about how prepared he was for what should be a simple test; her aunt is a great cook, do you want a piece of cake?"
