sentence	true_idioms	final_variant	variant_number	tokens	tags	tag_ids	language	responses	predicted_idioms	ratios	hallucinated	predicted_tags
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen lassen']	Der Kurier vom Vertrieb war da, um die ganze Retoure abzuholen, und er meinte, er hätte noch etwas Platz im Wagen für weitere Artikel, die wir nicht mehr wollen, da erinnerte ich mich, letztens hab ich im Laden zwei CDs mitgehen lassen, und die gab ich ihm.	1	['Der', 'Kurier', 'vom', 'Vertrieb', 'war', 'da', ',', 'um', 'die', 'ganze', 'Retoure', 'abzuholen', ',', 'und', 'er', 'meinte', ',', 'er', 'hätte', 'noch', 'etwas', 'Platz', 'im', 'Wagen', 'für', 'weitere', 'Artikel', ',', 'die', 'wir', 'nicht', 'mehr', 'wollen', ',', 'da', 'erinnerte', 'ich', 'mich', ',', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', ',', 'und', 'die', 'gab', 'ich', 'ihm', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	german	"[{'raw': {'content': '[{""parameters"": {""idioms"": [""mitgehen lassen""]}}]', 'response_metadata': {'token_usage': {'completion_tokens': 21, 'prompt_tokens': 215, 'total_tokens': 236, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'stop', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--7773de88-aeac-4991-b846-2c8d446c42b9-0', 'example': False, 'tool_calls': [], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 215, 'output_tokens': 21, 'total_tokens': 236, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': [{'parameters': {'idioms': ['mitgehen lassen']}}]}]"	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen lassen']	"Meine beiden Aushilfen aus der Musikabteilung, Christian und David, wollten unbedingt bei der großen Inventur im Nachbargeschäft helfen und haben mich tagelang bekniet mitzumachen, und als sie merkten ich will nicht sagt David zu mir als Anreiz: ""letztens hab ich im Laden zwei CDs mitgehen lassen""."	2	"['Meine', 'beiden', 'Aushilfen', 'aus', 'der', 'Musikabteilung', ',', 'Christian', 'und', 'David', ',', 'wollten', 'unbedingt', 'bei', 'der', 'großen', 'Inventur', 'im', 'Nachbargeschäft', 'helfen', 'und', 'haben', 'mich', 'tagelang', 'bekniet', 'mitzumachen', ',', 'und', 'als', 'sie', 'merkten', 'ich', 'will', 'nicht', 'sagt', 'David', 'zu', 'mir', 'als', 'Anreiz', ':', '""', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', '""', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 26, 'prompt_tokens': 224, 'total_tokens': 250, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--d349fbd7-8d2a-4079-b693-2177d5e6b738-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['mitgehen lassen']}, 'id': 'call_r9vgy104fjz4fvba1vqs1an0', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 224, 'output_tokens': 26, 'total_tokens': 250, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['mitgehen lassen']}}]	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']
Letztens hab ich im Laden zwei CDs mitgehen lassen.	['mitgehen lassen']	"Meine Freundin half mir beim Ausräumen des Lagers und packte eine Kiste für den Spendenflohmarkt; sie fragte, was die Leute denn gerne haben würden und zur Orientierung sagt ich ihr während ich es eilig hatte: ""letztens hab ich im Laden zwei CDs mitgehen lassen."""	3	"['Meine', 'Freundin', 'half', 'mir', 'beim', 'Ausräumen', 'des', 'Lagers', 'und', 'packte', 'eine', 'Kiste', 'für', 'den', 'Spendenflohmarkt', ';', 'sie', 'fragte', ',', 'was', 'die', 'Leute', 'denn', 'gerne', 'haben', 'würden', 'und', 'zur', 'Orientierung', 'sagt', 'ich', 'ihr', 'während', 'ich', 'es', 'eilig', 'hatte', ':', '""', 'letztens', 'hab', 'ich', 'im', 'Laden', 'zwei', 'CDs', 'mitgehen', 'lassen', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 26, 'prompt_tokens': 215, 'total_tokens': 241, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--36960322-8e97-446c-a5d5-c2f362b8c772-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['mitgehen lassen']}, 'id': 'call_1umic4twc6p00wowaq8pcf0u', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 215, 'output_tokens': 26, 'total_tokens': 241, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['mitgehen lassen']}}]	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen lassen']	Wir packten die Kisten für den Umzug und alles ging drunter und drüber, weshalb ich erst später bemerkte, er hat wieder mal mein Feuerzeug mitgehen lassen.	1	['Wir', 'packten', 'die', 'Kisten', 'für', 'den', 'Umzug', 'und', 'alles', 'ging', 'drunter', 'und', 'drüber', ',', 'weshalb', 'ich', 'erst', 'später', 'bemerkte', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 33, 'prompt_tokens': 185, 'total_tokens': 218, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--01a40b9d-f77c-44f2-a8d1-de2c0378a33a-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['drunter und drüber', 'mitgehen lassen']}, 'id': 'call_16x49om1zsb8q6yx3xpv40ea', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 185, 'output_tokens': 33, 'total_tokens': 218, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['drunter und drüber', 'mitgehen lassen']}}]	['drunter und drüber', 'mitgehen lassen']	[1.0, 1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen lassen']	Auf der Party ging mein Feuerzeug von Hand zu Hand, und am Ende des Abends, als alle ihre Sachen zusammenkramten, war klar, er hat wieder mal mein Feuerzeug mitgehen lassen.	2	['Auf', 'der', 'Party', 'ging', 'mein', 'Feuerzeug', 'von', 'Hand', 'zu', 'Hand', ',', 'und', 'am', 'Ende', 'des', 'Abends', ',', 'als', 'alle', 'ihre', 'Sachen', 'zusammenkramten', ',', 'war', 'klar', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 32, 'prompt_tokens': 189, 'total_tokens': 221, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--64c2aa69-0a43-4323-8ef7-60997f1e641c-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['von Hand zu Hand', 'mitgehen lassen']}, 'id': 'call_vk0tyr3ap6jtejszxfff6f1l', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 189, 'output_tokens': 32, 'total_tokens': 221, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['von Hand zu Hand', 'mitgehen lassen']}}]	['von hand zu hand', 'mitgehen lassen']	[1.0, 1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen lassen']	Bei den Vorbereitungen für die Campingtour haben wir die Ausrüstung aufgeteilt, damit nicht jeder das Gleiche schleppen muss, doch bei der Ankunft am Zeltplatz stellte sich heraus, er hat wieder mal mein Feuerzeug mitgehen lassen.	3	['Bei', 'den', 'Vorbereitungen', 'für', 'die', 'Campingtour', 'haben', 'wir', 'die', 'Ausrüstung', 'aufgeteilt', ',', 'damit', 'nicht', 'jeder', 'das', 'Gleiche', 'schleppen', 'muss', ',', 'doch', 'bei', 'der', 'Ankunft', 'am', 'Zeltplatz', 'stellte', 'sich', 'heraus', ',', 'er', 'hat', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 26, 'prompt_tokens': 205, 'total_tokens': 231, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--d00cc361-7a24-4c59-a09c-82c29f57c404-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['mitgehen lassen']}, 'id': 'call_oiwgdfq11mbgtdb85508oiok', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 205, 'output_tokens': 26, 'total_tokens': 231, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['mitgehen lassen']}}]	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen lassen']	Der Requisiteur meinte, seine Figur müsse unbedingt rauchen, und da in der Eile kein Requisitenfeuerzeug zur Hand war, hat er wieder mal mein Feuerzeug mitgehen lassen.	4	['Der', 'Requisiteur', 'meinte', ',', 'seine', 'Figur', 'müsse', 'unbedingt', 'rauchen', ',', 'und', 'da', 'in', 'der', 'Eile', 'kein', 'Requisitenfeuerzeug', 'zur', 'Hand', 'war', ',', 'hat', 'er', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 29, 'prompt_tokens': 192, 'total_tokens': 221, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--63f55553-792c-4ba1-8bc0-0da112d7eba5-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['mitgehen lassen']}, 'id': 'call_gnbsg08mu04bzhbb7d9bigxz', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 192, 'output_tokens': 29, 'total_tokens': 221, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['mitgehen lassen']}}]	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Er hat wieder mal mein Feuerzeug mitgehen lassen.	['mitgehen lassen']	Mein Kollege fragt nie, er nimmt sich einfach Dinge von meinem Schreibtisch, und da ich nichts sagte, als er es vor der Mittagspause den Autoschlüssel einsteckte, und dann merkte ich erst später, er wieder mal mein Feuerzeug mitgehen lassen.	5	['Mein', 'Kollege', 'fragt', 'nie', ',', 'er', 'nimmt', 'sich', 'einfach', 'Dinge', 'von', 'meinem', 'Schreibtisch', ',', 'und', 'da', 'ich', 'nichts', 'sagte', ',', 'als', 'er', 'es', 'vor', 'der', 'Mittagspause', 'den', 'Autoschlüssel', 'einsteckte', ',', 'und', 'dann', 'merkte', 'ich', 'erst', 'später', ',', 'er', 'wieder', 'mal', 'mein', 'Feuerzeug', 'mitgehen', 'lassen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 26, 'prompt_tokens': 211, 'total_tokens': 237, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--0818d1ec-2199-41f3-9d84-3fd80b0cbfbe-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['mitgehen lassen']}, 'id': 'call_gedn220v80mc0o987ev1tzb0', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 211, 'output_tokens': 26, 'total_tokens': 237, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['mitgehen lassen']}}]	['mitgehen lassen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']
Das interessiert mich nicht die Bohne.	['nicht die Bohne']	"Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte ""das interessiert mich nicht die Bohne."""	1	"['Beim', 'Kochen', 'sortierte', 'er', 'sorgfältig', 'die', 'Linsen', 'für', 'die', 'Suppe', 'und', 'als', 'sein', 'Freund', 'ihn', 'nach', 'seiner', 'Meinung', 'zu', 'den', 'neuesten', 'politischen', 'Entwicklungen', 'fragte', ',', 'schob', 'er', 'ein', 'einzelnes', ',', 'unbrauchbares', 'Exemplar', 'beiseite', ',', 'und', 'sagte', '""', 'das', 'interessiert', 'mich', 'nicht', 'die', 'Bohne', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]	german	[{'raw': {'content': '', 'response_metadata': {'token_usage': {'completion_tokens': 30, 'prompt_tokens': 214, 'total_tokens': 244, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'tool_calls', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--ec7244d7-f77f-4abe-8782-2fce0dcaaf79-0', 'example': False, 'tool_calls': [{'name': 'Idioms', 'args': {'idioms': ['das interessiert mich nicht die Bohne']}, 'id': 'call_b7wlvpzxpxnvioezbpzjss8s', 'type': 'tool_call'}], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 214, 'output_tokens': 30, 'total_tokens': 244, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': {'idioms': ['das interessiert mich nicht die Bohne']}}]	['das interessiert mich nicht die bohne']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']
Das interessiert mich nicht die Bohne.	['nicht die Bohne']	"Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: ""das interessiert mich nicht die Bohne."""	2	"['Der', 'Botaniker', 'erklärte', 'die', 'einzigartigen', 'Eigenschaften', 'der', 'neu', 'entdeckten', 'Hülsenfrucht', ',', 'doch', 'der', 'Investor', ',', 'der', 'nur', 'an', 'der', 'finanziellen', 'Rendite', 'des', 'Projekts', 'interessiert', 'war', ',', 'winkte', 'ab', 'und', 'sagte', ':', '""', 'das', 'interessiert', 'mich', 'nicht', 'die', 'Bohne', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]	german	"[{'raw': {'content': '[{""parameters"": {""idioms"": [""das interessiert mich nicht die Bohne""]}}]', 'response_metadata': {'token_usage': {'completion_tokens': 25, 'prompt_tokens': 205, 'total_tokens': 230, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'cached_tokens': 0}, 'model_name': 'deepseek-ai/DeepSeek-R1', 'system_fingerprint': None, 'finish_reason': 'stop', 'logprobs': None}, 'type': 'ai', 'name': None, 'id': 'run--14e1a971-b062-4563-b72a-f0739289f0fc-0', 'example': False, 'tool_calls': [], 'invalid_tool_calls': [], 'usage_metadata': {'input_tokens': 205, 'output_tokens': 25, 'total_tokens': 230, 'input_token_details': {}, 'output_token_details': {}}}, 'parsed': [{'parameters': {'idioms': ['das interessiert mich nicht die Bohne']}}]}]"	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
