sentence	PIE	true_idioms	is_figurative	variant_number	variant_sentence	tokens	tags	tag_ids	version	language	predicted_idioms	ratios	hallucinated	predicted_tags
The bullet hit the book in his pocket.	['hit the book']	[]	False	1	As a part of his experimental art piece about the failures of the education system, the artist set up a firing range in a replica classroom, and for the finale, the bullet hit the book in his pocket.	['As', 'a', 'part', 'of', 'his', 'experimental', 'art', 'piece', 'about', 'the', 'failures', 'of', 'the', 'education', 'system', ',', 'the', 'artist', 'set', 'up', 'a', 'firing', 'range', 'in', 'a', 'replica', 'classroom', ',', 'and', 'for', 'the', 'finale', ',', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The bullet hit the book in his pocket.	['hit the book']	[]	False	2	In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.	['In', 'the', 'combat', 'simulation', 'designed', 'to', 'test', 'cognitive', 'load', 'under', 'stress', ',', 'the', 'soldier', 'failed', 'a', 'pop', 'quiz', 'on', 'military', 'strategy', 'just', 'as', 'a', 'training', 'projectile', 'struck', 'his', 'tactical', 'vest', ',', 'and', 'the', 'after', '-', 'action', 'report', 'dryly', 'noted', 'that', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The bullet hit the book in his pocket.	['hit the book']	[]	False	3	The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.	"['The', 'professor', ""'"", 's', 'lecture', 'on', 'literary', 'symbolism', 'was', 'so', 'intense', ',', 'he', 'described', 'the', 'protagonist', ""'"", 's', 'moment', 'of', 'tragic', 'realization', 'as', 'a', 'fatal', 'blow', 'to', 'his', 'willful', 'ignorance', ',', 'explaining', 'to', 'the', 'class', 'that', 'at', 'the', 'story', ""'"", 's', 'climax', ',', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	['fatal blow']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ostriches bury their head in the sand.	['bury their head in the sand']	[]	False	1	The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.	['The', 'board', 'ignored', 'all', 'warnings', 'of', 'imminent', 'bankruptcy', ',', 'preferring', 'to', 'discuss', 'the', 'new', 'coffee', 'machine', ';', 'this', 'response', 'to', 'crisis', 'perfectly', 'demonstrates', 'the', 'flawed', 'survival', 'instinct', 'whereby', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	['bury their head in the sand']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Ostriches bury their head in the sand.	['bury their head in the sand']	[]	False	2	The psychologist explained that denial is a powerful, primitive defense mechanism for avoiding emotional pain, noting that when some creatures perceive an overwhelming threat they cannot fight, ostriches bury their head in the sand.	['The', 'psychologist', 'explained', 'that', 'denial', 'is', 'a', 'powerful', ',', 'primitive', 'defense', 'mechanism', 'for', 'avoiding', 'emotional', 'pain', ',', 'noting', 'that', 'when', 'some', 'creatures', 'perceive', 'an', 'overwhelming', 'threat', 'they', 'cannot', 'fight', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	['bury their head in the sand']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Ostriches bury their head in the sand.	['bury their head in the sand']	[]	False	3	Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.	['Despite', 'daily', 'reports', 'of', 'ecological', 'collapse', ',', 'the', 'ruling', 'party', 'refused', 'to', 'acknowledge', 'the', 'crisis', ',', 'choosing', 'instead', 'to', 'focus', 'on', 'minor', 'diplomatic', 'issues', ';', 'their', 'policy', 'was', 'a', 'stark', 'reminder', 'that', 'in', 'some', 'ecosystems', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Do some animals really bury their head in the sand?	['bury their head in the sand']	[]	False	1	Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?	"['Watching', 'our', 'friend', 'ignore', 'all', 'the', 'obvious', 'red', 'flags', 'in', 'his', 'failing', 'relationship', 'was', 'painful', ',', 'and', 'after', 'he', 'defended', 'his', 'partner', ""'"", 's', 'blatant', 'lies', 'once', 'again', ',', 'I', 'began', 'to', 'wonder', 'about', 'the', 'very', 'nature', 'of', 'self', '-', 'deception', ',', 'eventually', 'asking', 'my', 'wife', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Do some animals really bury their head in the sand?	['bury their head in the sand']	[]	False	2	The psychology lecture covered various defense mechanisms, focusing on how denial functions by rejecting empirical reality, and the professor used the common ostrich myth as a prime example of this concept in popular culture, which then led one student to inquire, do some animals really bury their head in the sand?	['The', 'psychology', 'lecture', 'covered', 'various', 'defense', 'mechanisms', ',', 'focusing', 'on', 'how', 'denial', 'functions', 'by', 'rejecting', 'empirical', 'reality', ',', 'and', 'the', 'professor', 'used', 'the', 'common', 'ostrich', 'myth', 'as', 'a', 'prime', 'example', 'of', 'this', 'concept', 'in', 'popular', 'culture', ',', 'which', 'then', 'led', 'one', 'student', 'to', 'inquire', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Do some animals really bury their head in the sand?	['bury their head in the sand']	[]	False	3	While discussing how many popular expressions originated from ancient, often inaccurate, observations of the natural world, our conversation turned to phrases used to describe human folly, which made me genuinely curious about the basis for one particular idiom, so I asked, do some animals really bury their head in the sand?	['While', 'discussing', 'how', 'many', 'popular', 'expressions', 'originated', 'from', 'ancient', ',', 'often', 'inaccurate', ',', 'observations', 'of', 'the', 'natural', 'world', ',', 'our', 'conversation', 'turned', 'to', 'phrases', 'used', 'to', 'describe', 'human', 'folly', ',', 'which', 'made', 'me', 'genuinely', 'curious', 'about', 'the', 'basis', 'for', 'one', 'particular', 'idiom', ',', 'so', 'I', 'asked', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	['bury their head in the sand']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
A rock has broken the ice covering a lake.	['broken the ice']	[]	False	1	During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.	['During', 'their', 'painfully', 'awkward', 'first', 'date', ',', 'neither', 'of', 'the', 'painfully', 'shy', 'geologists', 'knew', 'what', 'to', 'say', 'as', 'they', 'walked', 'along', 'the', 'shore', ',', 'and', 'just', 'when', 'the', 'silence', 'became', 'truly', 'unbearable', ',', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	v2	english	[]	[]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
