sentence,PIE,true_idioms,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,1,"Am Tatort fanden die Ermittler deutliche Schleifspuren, und die Gerichtsmedizinerin vermutete, das Opfer sei an den Haaren gezerrt worden, was die Theorie des Hauptverdächtigen für den Kommissar zu einer an den Haaren herbeigezogene Behauptung machte.","['Am', 'Tatort', 'fanden', 'die', 'Ermittler', 'deutliche', 'Schleifspuren', ',', 'und', 'die', 'Gerichtsmedizinerin', 'vermutete', ',', 'das', 'Opfer', 'sei', 'an', 'den', 'Haaren', 'gezerrt', 'worden', ',', 'was', 'die', 'Theorie', 'des', 'Hauptverdächtigen', 'für', 'den', 'Kommissar', 'zu', 'einer', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'machte', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,2,"Der Puppenmacher erklärte, wie er die Haarsträhnen durch den Vinylkopf zog, während er gleichzeitig die abenteuerliche Geschichte erzählte, die er sich zur Herkunft der Puppe ausgedacht hatte, was sein Lehrling nur als eine an den Haaren herbeigezogene Behauptung abtat.","['Der', 'Puppenmacher', 'erklärte', ',', 'wie', 'er', 'die', 'Haarsträhnen', 'durch', 'den', 'Vinylkopf', 'zog', ',', 'während', 'er', 'gleichzeitig', 'die', 'abenteuerliche', 'Geschichte', 'erzählte', ',', 'die', 'er', 'sich', 'zur', 'Herkunft', 'der', 'Puppe', 'ausgedacht', 'hatte', ',', 'was', 'sein', 'Lehrling', 'nur', 'als', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'abtat', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,3,"Im Seminar über mittelalterliche Rechtspraktiken wurde die Strafe diskutiert, bei der jemand an den Haaren zum Pranger geschleift wurde, woraufhin der Professor die populäre Theorie über deren häufige Anwendung als eine an den Haaren herbeigezogene Behauptung entlarvte.","['Im', 'Seminar', 'über', 'mittelalterliche', 'Rechtspraktiken', 'wurde', 'die', 'Strafe', 'diskutiert', ',', 'bei', 'der', 'jemand', 'an', 'den', 'Haaren', 'zum', 'Pranger', 'geschleift', 'wurde', ',', 'woraufhin', 'der', 'Professor', 'die', 'populäre', 'Theorie', 'über', 'deren', 'häufige', 'Anwendung', 'als', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'entlarvte', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,4,"Während die Friseurin kräftig an einer widerspenstigen Locke zog, um sie zu bändigen, hörte sie dem Klatsch ihrer Nachbarin zu und nannte das Gerücht über den neuen Mieter eine an den Haaren herbeigezogene Behauptung.","['Während', 'die', 'Friseurin', 'kräftig', 'an', 'einer', 'widerspenstigen', 'Locke', 'zog', ',', 'um', 'sie', 'zu', 'bändigen', ',', 'hörte', 'sie', 'dem', 'Klatsch', 'ihrer', 'Nachbarin', 'zu', 'und', 'nannte', 'das', 'Gerücht', 'über', 'den', 'neuen', 'Mieter', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]"
eine an den Haaren herbeigezogene Behauptung,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,5,"Nachdem der Stuntkoordinator eine Kampfszene choreografiert hatte, in der ein Darsteller scheinbar an den Haaren über den Boden gezogen wird, wies der Regisseur das Ganze als eine an den Haaren herbeigezogene Behauptung von Realismus zurück.","['Nachdem', 'der', 'Stuntkoordinator', 'eine', 'Kampfszene', 'choreografiert', 'hatte', ',', 'in', 'der', 'ein', 'Darsteller', 'scheinbar', 'an', 'den', 'Haaren', 'über', 'den', 'Boden', 'gezogen', 'wird', ',', 'wies', 'der', 'Regisseur', 'das', 'Ganze', 'als', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Behauptung', 'von', 'Realismus', 'zurück', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]"
eine an den Haaren herbeigezogene Theorie,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,1,"In der forensischen Abteilung, wo die Untersuchung sich um die Analyse von ausgerissenen Haaren am Tatort drehte, präsentierte der Ermittler eine an den Haaren herbeigezogene Theorie.","['In', 'der', 'forensischen', 'Abteilung', ',', 'wo', 'die', 'Untersuchung', 'sich', 'um', 'die', 'Analyse', 'von', 'ausgerissenen', 'Haaren', 'am', 'Tatort', 'drehte', ',', 'präsentierte', 'der', 'Ermittler', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Theorie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]"
eine an den Haaren herbeigezogene Theorie,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,2,"Bei der Entwicklung der neuen Physik-Engine für Haar-Animationen, bei der jede Strähne einzeln berechnet wurde, implementierte der Entwickler eine an den Haaren herbeigezogene Theorie.","['Bei', 'der', 'Entwicklung', 'der', 'neuen', 'Physik', '-', 'Engine', 'für', 'Haar', '-', 'Animationen', ',', 'bei', 'der', 'jede', 'Strähne', 'einzeln', 'berechnet', 'wurde', ',', 'implementierte', 'der', 'Entwickler', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Theorie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]"
eine an den Haaren herbeigezogene Theorie,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,3,"Während der Physikvorlesung über die Van-der-Waals-Kräfte, bei der die Haftung von Oberflächen durch das Beispiel von Haaren demonstriert wurde, entwickelte ein Student eine an den Haaren herbeigezogene Theorie.","['Während', 'der', 'Physikvorlesung', 'über', 'die', 'Van', '-', 'der', '-', 'Waals', '-', 'Kräfte', ',', 'bei', 'der', 'die', 'Haftung', 'von', 'Oberflächen', 'durch', 'das', 'Beispiel', 'von', 'Haaren', 'demonstriert', 'wurde', ',', 'entwickelte', 'ein', 'Student', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Theorie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]"
eine an den Haaren herbeigezogene Theorie,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,4,"Das Ingenieurteam, das einen Roboter mit sensiblen Greifern für Friseuraufgaben programmierte, testete zur Kalibrierung eine an den Haaren herbeigezogene Theorie.","['Das', 'Ingenieurteam', ',', 'das', 'einen', 'Roboter', 'mit', 'sensiblen', 'Greifern', 'für', 'Friseuraufgaben', 'programmierte', ',', 'testete', 'zur', 'Kalibrierung', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Theorie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]"
eine an den Haaren herbeigezogene Theorie,['an  den  Haaren  herbeigezogene'],['an den Haaren herbeigezogene'],True,5,"Bei der Analyse des surrealistischen Gemäldes, das eine Figur zeigt, die buchstäblich Ideen aus ihrem eigenen Schopf zerrt, schlug der Kunsthistoriker eine an den Haaren herbeigezogene Theorie vor.","['Bei', 'der', 'Analyse', 'des', 'surrealistischen', 'Gemäldes', ',', 'das', 'eine', 'Figur', 'zeigt', ',', 'die', 'buchstäblich', 'Ideen', 'aus', 'ihrem', 'eigenen', 'Schopf', 'zerrt', ',', 'schlug', 'der', 'Kunsthistoriker', 'eine', 'an', 'den', 'Haaren', 'herbeigezogene', 'Theorie', 'vor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0]"
