variant_sentence,sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models,id10m_num_models_confused,id10m_total_models,id10m_confusion_rate,id10m_confused_models,real_confused_models,num_real_confusions
"Der Kurier vom Vertrieb war da, um die ganze Retoure abzuholen, und er meinte, er hätte noch etwas Platz im Wagen für weitere Artikel, die wir nicht mehr wollen, da erinnerte ich mich, letztens hab ich im Laden zwei CDs mitgehen lassen, und die gab ich ihm.",Letztens hab ich im Laden zwei CDs mitgehen lassen.,['mitgehen lassen'],1,9,11.1%,o3-mini,0,9,0.0%,,o3-mini,1
"Meine beiden Aushilfen aus der Musikabteilung, Christian und David, wollten unbedingt bei der großen Inventur im Nachbargeschäft helfen und haben mich tagelang bekniet mitzumachen, und als sie merkten ich will nicht sagt David zu mir als Anreiz: ""letztens hab ich im Laden zwei CDs mitgehen lassen"".",Letztens hab ich im Laden zwei CDs mitgehen lassen.,['mitgehen lassen'],0,9,0.0%,,0,9,0.0%,,,0
"Meine Freundin half mir beim Ausräumen des Lagers und packte eine Kiste für den Spendenflohmarkt; sie fragte, was die Leute denn gerne haben würden und zur Orientierung sagt ich ihr während ich es eilig hatte: ""letztens hab ich im Laden zwei CDs mitgehen lassen.""",Letztens hab ich im Laden zwei CDs mitgehen lassen.,['mitgehen lassen'],0,9,0.0%,,0,9,0.0%,,,0
"Wir packten die Kisten für den Umzug und alles ging drunter und drüber, weshalb ich erst später bemerkte, er hat wieder mal mein Feuerzeug mitgehen lassen.",Er hat wieder mal mein Feuerzeug mitgehen lassen.,['mitgehen lassen'],3,9,33.3%,"gpt-4o-mini, llama-4-scout, o3-mini",0,9,0.0%,,"gpt-4o-mini, llama-4-scout, o3-mini",3
"Auf der Party ging mein Feuerzeug von Hand zu Hand, und am Ende des Abends, als alle ihre Sachen zusammenkramten, war klar, er hat wieder mal mein Feuerzeug mitgehen lassen.",Er hat wieder mal mein Feuerzeug mitgehen lassen.,['mitgehen lassen'],0,9,0.0%,,0,9,0.0%,,,0
"Bei den Vorbereitungen für die Campingtour haben wir die Ausrüstung aufgeteilt, damit nicht jeder das Gleiche schleppen muss, doch bei der Ankunft am Zeltplatz stellte sich heraus, er hat wieder mal mein Feuerzeug mitgehen lassen.",Er hat wieder mal mein Feuerzeug mitgehen lassen.,['mitgehen lassen'],0,9,0.0%,,0,9,0.0%,,,0
"Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte ""das interessiert mich nicht die Bohne.""",Das interessiert mich nicht die Bohne.,['nicht die Bohne'],0,9,0.0%,,0,9,0.0%,,,0
"Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: ""das interessiert mich nicht die Bohne.""",Das interessiert mich nicht die Bohne.,['nicht die Bohne'],0,9,0.0%,,0,9,0.0%,,,0
"Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: ""das interessiert mich nicht die Bohne.""",Das interessiert mich nicht die Bohne.,['nicht die Bohne'],0,9,0.0%,,0,9,0.0%,,,0
"Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.",Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.",Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz ""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""",Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.,['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"Die Anwohner hatten versucht alles zu retten was ihnen lieb war, dabei war die alte Bowlingbahn nebenan bereits vollkommen zerbombt und so am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.","Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.",['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"Der örtliche Sportverein löste gerade sein Lager auf, als der Alarm losging, und die Mitglieder flohen mit dem, was sie gerade in den Händen hielten, weswegen am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.","Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.",['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"In ihrer Panik hatten die Menschen alles Greifbare aus den umliegenden, verlassenen Geschäften mitgenommen, auch die schweren, massiven Holzfiguren aus der alten Gastwirtschaft, und nun am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.","Am Friedrichstraßenbunker lungern sie mit Kind und Kegel, mit Taschen und Flaschen, warten auf Bomben, auf Alarm, warten geduldig vor verschlossenen Toren.",['mit Kind und Kegel'],0,9,0.0%,,0,9,0.0%,,,0
"Nachdem die Mittelaltermesse, auf der er als Wandergeselle aufgetreten war, wegen eines Unwetters abrupt beendet werden musste, passierte es plötzlich: Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.",Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,['mit Sack und Pack'],0,9,0.0%,,0,9,0.0%,,,0
"Er half bei einer Spendenaktion für Obdachlose, bei der Kleidung in Säcke gefüllt und in Rucksäcke für den Transport sortiert wurde, und schien von der Aufgabe emotional völlig überwältigt, als unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.",Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,['mit Sack und Pack'],0,9,0.0%,,0,9,0.0%,,,0
"Wir hatten gerade erst am Telefon darüber gesprochen, welche Art von Seesack und Rucksack er sich für seine bevorstehende Weltreise kaufen sollte, als es plötzlich passierte: Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.",Unerwartet stand mein Bruder mit Sack und Pack vor meiner Haustür und bat um Herberge.,['mit Sack und Pack'],0,9,0.0%,,0,9,0.0%,,,0
"In unserem absurden Theaterstück ist das deine zugewiesene Rolle, aber du bist selbst unzufrieden und schmollst nur in der Ecke, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.",Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],2,9,22.2%,"llama-4-scout, qwen-2.5-72b-instruct",0,9,0.0%,,"llama-4-scout, qwen-2.5-72b-instruct",2
"Beim Scharade-Spielen ist das der Begriff, den du darstellen sollst, doch anstatt es richtig zu versuchen, wirst du nur wütend auf das ratende Team, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.",Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],2,9,22.2%,"llama-4-scout, qwen-2.5-72b-instruct",0,9,0.0%,,"llama-4-scout, qwen-2.5-72b-instruct",2
"In dieser Therapiesitzung geht es darum, Gefühle durch Rollenspiele auszudrücken, aber du weigerst dich teilzunehmen und schweigst nur bockig, hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.",Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],2,9,22.2%,"llama-4-scout, qwen-2.5-72b-instruct",0,9,0.0%,,"llama-4-scout, qwen-2.5-72b-instruct",2
"Beim Metzger-Wettbewerb, wo eine Kreation wegen ihrer schrumpeligen Hülle und faden Farbe kritisiert wurde, tröstete der Meister seinen enttäuschten Gesellen mit den Worten: ""sei nicht so’ne beleidigte Leberwurst!""",Sei nicht so’ne beleidigte Leberwurst!,['beleidigte Leberwurst'],0,9,0.0%,,0,9,0.0%,,,0
