model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
gpt-4o-mini,zero_shot,42,0,1,0.3,0.946268,0.831457,0.904911,0.864007,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.939511,0.815145,0.873607,0.841384,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.941441,0.820258,0.881953,0.847991,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.967503,0.892889,0.940302,0.915143,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.971042,0.910483,0.941866,0.925579,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.971364,0.903072,0.948189,0.92438,0
gpt-4o,zero_shot,42,0,1,0.3,0.95045,0.838545,0.901024,0.866847,0
gpt-4o,few_shot,42,10,5,0.8,0.971686,0.905031,0.929619,0.916845,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.94852,0.834488,0.918635,0.871795,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.948842,0.835849,0.918764,0.872637,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.94852,0.836191,0.926522,0.875747,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.961712,0.879178,0.923754,0.900262,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.972973,0.910673,0.930738,0.92047,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.96332,0.882701,0.933205,0.90649,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.958172,0.856396,0.919724,0.885581,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.971686,0.895757,0.941062,0.917211,0
meta-llama/llama-4-scout,zero_shot,42,0,1,0.3,0.944015,0.823412,0.904007,0.858884,4
meta-llama/llama-4-scout,zero_shot,43,0,1,0.3,0.946911,0.838234,0.89387,0.863741,6
meta-llama/llama-4-scout,zero_shot,44,0,1,0.3,0.946589,0.833999,0.894056,0.861312,7
meta-llama/llama-4-scout,few_shot,42,10,5,0.8,0.965573,0.881269,0.939843,0.908513,0
meta-llama/llama-4-scout,few_shot,43,10,5,0.8,0.972651,0.902977,0.943916,0.922489,2
meta-llama/llama-4-scout,few_shot,44,10,5,0.8,0.962677,0.87523,0.930021,0.900841,1
qwen/qwen-2.5-72b-instruct,zero_shot,42,0,1,0.3,0.935972,0.809965,0.908353,0.851799,0
qwen/qwen-2.5-72b-instruct,zero_shot,43,0,1,0.3,0.938867,0.815305,0.909514,0.855776,0
qwen/qwen-2.5-72b-instruct,zero_shot,44,0,1,0.3,0.934041,0.807134,0.90124,0.847246,0
qwen/qwen-2.5-72b-instruct,few_shot,42,10,5,0.8,0.950772,0.841907,0.928199,0.879916,0
qwen/qwen-2.5-72b-instruct,few_shot,43,10,5,0.8,0.96332,0.877877,0.938166,0.90576,0
qwen/qwen-2.5-72b-instruct,few_shot,44,10,5,0.8,0.944015,0.826515,0.917602,0.86627,0
o3-mini,zero_shot,42,0,1,0.3,0.953346,0.853158,0.903878,0.876416,0
deepseek/deepseek-r1,zero_shot,42,0,1,0.3,0.934363,0.804224,0.908311,0.849006,0
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.864221,0.687323,0.573076,0.61529,88
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.865187,0.691133,0.58135,0.622665,87
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.867117,0.699784,0.582584,0.626182,87
claude-3-haiku-20240307,few_shot,42,10,5,0.8,0.844273,0.767006,0.398937,0.422919,155
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.829472,0.332652,0.333462,0.304083,185
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.834942,0.82884,0.351889,0.33962,180
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,0.951416,0.845455,0.92536,0.881092,0
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.977156,0.924272,0.940618,0.932196,0
