model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
gpt-4o-mini,zero_shot,42,0,1,0.3,0.916239,0.788207,0.685195,0.728195,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.920342,0.804319,0.69597,0.741155,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.915214,0.788178,0.678062,0.723537,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.948718,0.894259,0.787047,0.833766,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.942564,0.876287,0.743464,0.798621,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.951795,0.905073,0.792522,0.841244,0
gpt-4o,zero_shot,42,0,1,0.3,0.947692,0.851475,0.820781,0.834934,0
gpt-4o,few_shot,42,10,5,0.8,0.963419,0.879005,0.897464,0.887514,0
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.929915,0.806734,0.754491,0.7786,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.929573,0.807045,0.749765,0.775964,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.931624,0.820309,0.754391,0.78431,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.958632,0.869353,0.877546,0.873186,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.958632,0.872583,0.887353,0.879711,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.951453,0.847892,0.848728,0.847899,0
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.953162,0.831285,0.900992,0.862979,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.968889,0.87729,0.923311,0.89883,0
meta-llama/llama-4-scout,zero_shot,42,0,1,0.3,0.927521,0.830749,0.722647,0.768674,4
meta-llama/llama-4-scout,zero_shot,43,0,1,0.3,0.932308,0.84276,0.742874,0.786206,4
meta-llama/llama-4-scout,zero_shot,44,0,1,0.3,0.931282,0.838618,0.737883,0.781473,4
meta-llama/llama-4-scout,few_shot,42,10,5,0.8,0.952137,0.881847,0.821288,0.849254,0
meta-llama/llama-4-scout,few_shot,43,10,5,0.8,0.948376,0.890849,0.789366,0.833956,0
meta-llama/llama-4-scout,few_shot,44,10,5,0.8,0.945299,0.874146,0.789246,0.827307,2
qwen/qwen-2.5-72b-instruct,zero_shot,42,0,1,0.3,0.936752,0.788579,0.859103,0.819442,0
qwen/qwen-2.5-72b-instruct,zero_shot,43,0,1,0.3,0.944274,0.803624,0.870131,0.833501,0
qwen/qwen-2.5-72b-instruct,zero_shot,44,0,1,0.3,0.940513,0.797941,0.863011,0.826937,0
qwen/qwen-2.5-72b-instruct,few_shot,42,10,5,0.8,0.951795,0.825583,0.88361,0.851993,0
qwen/qwen-2.5-72b-instruct,few_shot,43,10,5,0.8,0.960342,0.853777,0.901628,0.876175,0
qwen/qwen-2.5-72b-instruct,few_shot,44,10,5,0.8,0.950427,0.821541,0.879558,0.847778,0
o3-mini,zero_shot,42,0,1,0.3,0.94359,0.847771,0.798985,0.821532,0
deepseek/deepseek-r1,zero_shot,42,0,1,0.3,0.952479,0.83461,0.897204,0.862992,0
claude-3-haiku-20240307,zero_shot,42,0,1,0.3,0.875897,0.681347,0.510657,0.561997,75
claude-3-haiku-20240307,zero_shot,43,0,1,0.3,0.870427,0.653838,0.536102,0.5782,71
claude-3-haiku-20240307,zero_shot,44,0,1,0.3,0.861197,0.619154,0.489353,0.530108,79
claude-3-haiku-20240307,few_shot,42,10,5,0.8,0.862906,0.737889,0.347776,0.337682,133
claude-3-haiku-20240307,few_shot,43,10,5,0.8,0.860855,0.565075,0.337795,0.318176,136
claude-3-haiku-20240307,few_shot,44,10,5,0.8,0.861197,0.641657,0.347115,0.33711,134
claude-sonnet-4-20250514,zero_shot,42,0,1,0.3,0.94735,0.839855,0.849901,0.844448,0
claude-sonnet-4-20250514,few_shot,42,10,5,0.8,0.972991,0.913893,0.901169,0.907234,0
