sentence,PIE,true_idioms,is_figurative,variant_number,Valid,variant_sentence,tokens,tags,tag_ids
The bullet hit the book in his pocket.,['hit the book'],[],FALSE,1,V,"After the covert exchange went wrong in the university library, the agent knew he had to cram for his history final while also assessing the damage from the chase, realizing in that chaotic moment that the bullet hit the book in his pocket.","['After', 'the', 'covert', 'exchange', 'went', 'wrong', 'in', 'the', 'university', 'library', ',', 'the', 'agent', 'knew', 'he', 'had', 'to', 'cram', 'for', 'his', 'history', 'final', 'while', 'also', 'assessing', 'the', 'damage', 'from', 'the', 'chase', ',', 'realizing', 'in', 'that', 'chaotic', 'moment', 'that', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The bullet hit the book in his pocket.,['hit the book'],[],FALSE,2,V,"In the combat simulation designed to test cognitive load under stress, the soldier failed a pop quiz on military strategy just as a training projectile struck his tactical vest, and the after-action report dryly noted that the bullet hit the book in his pocket.","['In', 'the', 'combat', 'simulation', 'designed', 'to', 'test', 'cognitive', 'load', 'under', 'stress', ',', 'the', 'soldier', 'failed', 'a', 'pop', 'quiz', 'on', 'military', 'strategy', 'just', 'as', 'a', 'training', 'projectile', 'struck', 'his', 'tactical', 'vest', ',', 'and', 'the', 'after', '-', 'action', 'report', 'dryly', 'noted', 'that', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The bullet hit the book in his pocket.,['hit the book'],[],FALSE,3,V,"The professor's lecture on literary symbolism was so intense, he described the protagonist's moment of tragic realization as a fatal blow to his willful ignorance, explaining to the class that at the story's climax, the bullet hit the book in his pocket.","['The', 'professor', ""'"", 's', 'lecture', 'on', 'literary', 'symbolism', 'was', 'so', 'intense', ',', 'he', 'described', 'the', 'protagonist', ""'"", 's', 'moment', 'of', 'tragic', 'realization', 'as', 'a', 'fatal', 'blow', 'to', 'his', 'willful', 'ignorance', ',', 'explaining', 'to', 'the', 'class', 'that', 'at', 'the', 'story', ""'"", 's', 'climax', ',', 'the', 'bullet', 'hit', 'the', 'book', 'in', 'his', 'pocket', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ostriches bury their head in the sand.,['bury their head in the sand'],[],FALSE,1,V,"The board ignored all warnings of imminent bankruptcy, preferring to discuss the new coffee machine; this response to crisis perfectly demonstrates the flawed survival instinct whereby ostriches bury their head in the sand.","['The', 'board', 'ignored', 'all', 'warnings', 'of', 'imminent', 'bankruptcy', ',', 'preferring', 'to', 'discuss', 'the', 'new', 'coffee', 'machine', ';', 'this', 'response', 'to', 'crisis', 'perfectly', 'demonstrates', 'the', 'flawed', 'survival', 'instinct', 'whereby', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ostriches bury their head in the sand.,['bury their head in the sand'],[],FALSE,2,V,"The psychologist explained that denial is a powerful, primitive defense mechanism for avoiding emotional pain, noting that when some creatures perceive an overwhelming threat they cannot fight, ostriches bury their head in the sand.","['The', 'psychologist', 'explained', 'that', 'denial', 'is', 'a', 'powerful', ',', 'primitive', 'defense', 'mechanism', 'for', 'avoiding', 'emotional', 'pain', ',', 'noting', 'that', 'when', 'some', 'creatures', 'perceive', 'an', 'overwhelming', 'threat', 'they', 'cannot', 'fight', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ostriches bury their head in the sand.,['bury their head in the sand'],[],FALSE,3,V,"Despite daily reports of ecological collapse, the ruling party refused to acknowledge the crisis, choosing instead to focus on minor diplomatic issues; their policy was a stark reminder that in some ecosystems, ostriches bury their head in the sand.","['Despite', 'daily', 'reports', 'of', 'ecological', 'collapse', ',', 'the', 'ruling', 'party', 'refused', 'to', 'acknowledge', 'the', 'crisis', ',', 'choosing', 'instead', 'to', 'focus', 'on', 'minor', 'diplomatic', 'issues', ';', 'their', 'policy', 'was', 'a', 'stark', 'reminder', 'that', 'in', 'some', 'ecosystems', ',', 'ostriches', 'bury', 'their', 'head', 'in', 'the', 'sand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Do some animals really bury their head in the sand?,['bury their head in the sand'],[],FALSE,1,V,"Watching our friend ignore all the obvious red flags in his failing relationship was painful, and after he defended his partner's blatant lies once again, I began to wonder about the very nature of self-deception, eventually asking my wife, do some animals really bury their head in the sand?","['Watching', 'our', 'friend', 'ignore', 'all', 'the', 'obvious', 'red', 'flags', 'in', 'his', 'failing', 'relationship', 'was', 'painful', ',', 'and', 'after', 'he', 'defended', 'his', 'partner', ""'"", 's', 'blatant', 'lies', 'once', 'again', ',', 'I', 'began', 'to', 'wonder', 'about', 'the', 'very', 'nature', 'of', 'self', '-', 'deception', ',', 'eventually', 'asking', 'my', 'wife', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Do some animals really bury their head in the sand?,['bury their head in the sand'],[],FALSE,2,V,"The psychology lecture covered various defense mechanisms, focusing on how denial functions by rejecting empirical reality, and the professor used the common ostrich myth as a prime example of this concept in popular culture, which then led one student to inquire, do some animals really bury their head in the sand?","['The', 'psychology', 'lecture', 'covered', 'various', 'defense', 'mechanisms', ',', 'focusing', 'on', 'how', 'denial', 'functions', 'by', 'rejecting', 'empirical', 'reality', ',', 'and', 'the', 'professor', 'used', 'the', 'common', 'ostrich', 'myth', 'as', 'a', 'prime', 'example', 'of', 'this', 'concept', 'in', 'popular', 'culture', ',', 'which', 'then', 'led', 'one', 'student', 'to', 'inquire', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Do some animals really bury their head in the sand?,['bury their head in the sand'],[],FALSE,3,V,"While discussing how many popular expressions originated from ancient, often inaccurate, observations of the natural world, our conversation turned to phrases used to describe human folly, which made me genuinely curious about the basis for one particular idiom, so I asked, do some animals really bury their head in the sand?","['While', 'discussing', 'how', 'many', 'popular', 'expressions', 'originated', 'from', 'ancient', ',', 'often', 'inaccurate', ',', 'observations', 'of', 'the', 'natural', 'world', ',', 'our', 'conversation', 'turned', 'to', 'phrases', 'used', 'to', 'describe', 'human', 'folly', ',', 'which', 'made', 'me', 'genuinely', 'curious', 'about', 'the', 'basis', 'for', 'one', 'particular', 'idiom', ',', 'so', 'I', 'asked', ',', 'do', 'some', 'animals', 'really', 'bury', 'their', 'head', 'in', 'the', 'sand', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A rock has broken the ice covering a lake.,['broken the ice'],[],FALSE,1,V,"During their painfully awkward first date, neither of the painfully shy geologists knew what to say as they walked along the shore, and just when the silence became truly unbearable, a rock has broken the ice covering a lake.","['During', 'their', 'painfully', 'awkward', 'first', 'date', ',', 'neither', 'of', 'the', 'painfully', 'shy', 'geologists', 'knew', 'what', 'to', 'say', 'as', 'they', 'walked', 'along', 'the', 'shore', ',', 'and', 'just', 'when', 'the', 'silence', 'became', 'truly', 'unbearable', ',', 'a', 'rock', 'has', 'broken', 'the', 'ice', 'covering', 'a', 'lake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
